Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.22,1.1097084936241394e-09,1.1080080344721607e-08,3.0445806825988306e-08,4.3138170802593529e-08,4.9772523507309733e-08,5.184998413976119e-08,5.7364612444284332e-08
0.2225,-1.1196937774734198e-08,8.4799838476589725e-10,2.2277695623453388e-08,3.6011928243076991e-08,4.4019882744474915e-08,4.8246787263360513e-08,4.7955043302119095e-08
0.225,-2.4753427168543824e-08,-8.9120615555330736e-09,1.7278738411014371e-08,3.2973105317725775e-08,4.2601506071247205e-08,5.0100833263180121e-08,4.4796433047454341e-08
0.2275,-3.8300180434775497e-08,-1.6954219542226564e-08,1.6865428820774214e-08,3.5601149046089875e-08,4.7063611818519815e-08,5.8679199265092791e-08,5.1163982437754629e-08
0.23,-5.0718616923960072e-08,-2.2431719855282782e-08,2.1625876858051143e-08,4.4475422947591642e-08,5.7903013927533873e-08,7.392115646577242e-08,6.8198299615189851e-08
0.2325,-6.1178805006425515e-08,-2.505677777593311e-08,3.112890477051245e-08,5.8947810578846287e-08,7.4339566088572584e-08,9.4335129146997336e-08,9.4394238725504162e-08
0.235,-6.9172801013929483e-08,-2.5099177303574198e-08,4.3969148430222297e-08,7.7192399954365401e-08,9.4380847888159458e-08,1.1724235852019918e-07,1.2583532649199814e-07
0.2375,-7.4427199683364453e-08,-2.3214134300000986e-08,5.8052614591745475e-08,9.6531092797061136e-08,1.151687958427942e-07,1.3929957293045777e-07,1.5709726758906441e-07
0.24,-7.6437212324284247e-08,-1.9843097841977466e-08,7.1409439525148098e-08,1.1424524327040204e-07,1.3368938680467632e-07,1.5709242439759747e-07,1.8232844525659427e-07
0.2425,-7.5789573921213451e-08,-1.6340181247130645e-08,8.1398270820485557e-08,1.2731101840423513e-07,1.4704805395580337e-07,1.6825787757592377e-07,1.9747014335546476e-07
0.245,-7.2179884317880591e-08,-1.2842350013092273e-08,8.6940168118193426e-08,1.3420506049821325e-07,1.536723209038737e-07,1.7168133291586189e-07,2.0054387857027568e-07
0.2475,-6.5306115789289847e-08,-9.2103634533226177e-09,8.7492473413600651e-08,1.3400072615658012e-07,1.5262788686858448e-07,1.671171769025689e-07,1.9170362684583527e-07
0.25,-5.4756235010840026e-08,-4.7776836391415214e-09,8.3681371526838879e-08,1.2710002034119312e-07,1.4426839643164467e-07,1.5542204829011616e-07,1.7312077778256095e-07
0.2525,-4.0596461410851365e-08,1.0645592547398963e-09,7.6957402288558034e-08,1.1518121347542033e-07,1.3033560888125378e-07,1.3863011940492905e-07,1.4853822244480237e-07
0.255,-2.3691893475757784e-08,8.2039657321896566e-09,6.8458491943955537e-08,1.0001011806111446e-07,1.1284666368865049e-07,1.189756864295569e-07,1.2172587617107489e-07
0.2575,-4.7901438560729059e-09,1.6828174354858408e-08,5.9720088294626841e-08,8.3570548123750669e-08,9.3831350944556867e-08,9.8386240997048321e-08,9.5735873179174382e-08
0.26,1.4823232411039843e-08,2.6447419571660273e-08,5.1583175607426629e-08,6.7262944864809264e-08,7.4842722230684607e-08,7.831091471431666e-08,7.244819387211571e-08
0.2625,3.3873835794286683e-08,3.6628524679137501e-08,4.5113722235307976e-08,5.2706669974176127e-08,5.7574389833117121e-08,6.0216696352173825e-08,5.3202107423019834e-08
0.265,5.1022304328094992e-08,4.647422936652682e-08,4.0394564732070974e-08,4.0433352888915837e-08,4.2661172750334603e-08,4.4628256296976795e-08,3.8008262605886607e-08
