Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.2625,1.1453747216801411e-08,8.8380802196382076e-09,2.8799933624875684e-09,-6.6331152289424748e-10,-2.4077675872385068e-09,-4.0421052732076592e-09,-5.6231246328853281e-09
0.265,1.1622334081361775e-08,9.0322698953326411e-09,3.0665527870701488e-09,-4.7585403283464676e-10,-2.2028101524766729e-09,-3.7644031605901735e-09,-5.1058674477605668e-09
0.2675,1.1755829357752255e-08,9.1818473613785436e-09,3.1933351050823715e-09,-3.6327110590862149e-10,-2.0881042041456484e-09,-3.610023798782409e-09,-4.74112863954501e-09
0.27,1.186173758535586e-08,9.2952650498411292e-09,3.2707817689079367e-09,-3.1231030485687143e-10,-2.0473876503470076e-09,-3.5590040882767003e-09,-4.5214136518344996e-09
0.2725,1.1949288739907929e-08,9.3835092613836031e-09,3.3131223210983153e-09,-3.0492101689823091e-10,-2.05837151769947e-09,-3.5817554838277754e-09,-4.4216696891464958e-09
0.275,1.2029062067813639e-08,9.4594282932679887e-09,3.33680940143129e-09,-3.2074853473290125e-10,-2.0964307176130255e-09,-3.6446311462015432e-09,-4.4057524128442541e-09
0.2775,1.211063968052501e-08,9.5349515529390779e-09,3.3573334501498002e-09,-3.408796543649362e-10,-2.1390003897014925e-09,-3.7163466843926798e-09,-4.4343672645030295e-09
0.28,1.2202295747614446e-08,9.6206204265193231e-09,3.3882243239179607e-09,-3.4910053532969886e-10,-2.1671201503889932e-09,-3.7707181581636984e-09,-4.471813484463598e-09
0.2825,1.2309150887671662e-08,9.7233060623782396e-09,3.4386035466248355e-09,-3.3461499942753052e-10,-2.1683563538300748e-09,-3.7902972104444787e-09,-4.4905735823396394e-09
0.285,1.2434643536018391e-08,9.847886525442524e-09,3.5148125767120308e-09,-2.9028372597707515e-10,-2.1349185028197456e-09,-3.7645265390391932e-09,-4.4714159502365921e-09
0.2875,1.2578397142909395e-08,9.9945333379198978e-09,3.6176286311757441e-09,-2.1550725573181257e-10,-2.0667353545537025e-09,-3.6932873819149244e-09,-4.4066375369245845e-09
0.29,1.2737722837681699e-08,1.0160606899262909e-08,3.7443313637408903e-09,-1.1379347765095603e-10,-1.9686900206291712e-09,-3.5838985571444557e-09,-4.2980446016913106e-09
0.2925,1.2906762742737691e-08,1.033954143064786e-08,3.8876065300218074e-09,6.3492803226031084e-12,-1.8511228759337399e-09,-3.4509124481564228e-09,-4.1578006147994532e-09
0.295,1.3079038340789295e-08,1.0524068805766244e-08,4.0390508809992315e-09,1.3516875287067166e-10,-1.7256378663778961e-09,-3.3108302495843172e-09,-4.0033848973507587e-09
0.2975,1.3247953831784331e-08,1.0706707765064365e-08,4.1897551525710597e-09,2.6231097832347645e-10,-1.6042559159976494e-09,-3.1803181270819229e-09,-3.8555295020985858e-09
0.3,1.340757754500144e-08,1.0880551348948237e-08,4.3310853246090566e-09,3.7754724648093933e-10,-1.4987195658831729e-09,-3.0751425213704396e-09,-3.7359894425806865e-09
0.3025,1.3551472776825296e-08,1.1037609650556241e-08,4.4532244795339128e-09,4.6958121527075904e-10,-1.421464955826705e-09,-3.0105447234068076e-09,-3.6667354776192429e-09
0.305,1.3674805957868061e-08,1.1171667531694322e-08,4.5485701215735199e-09,5.2988581903486893e-10,-1.3816104811932765e-09,-2.9967774219896921e-09,-3.6640786026048207e-09
0.3075,1.3775861437043902e-08,1.1280179123413102e-08,4.6139459603186523e-09,5.551040991676238e-10,-1.3824887985058941e-09,-3.0367519006653225e-09,-3.735573060085785e-09
0.31,1.3855056256715166e-08,1.1363149137004046e-08,4.6494105176726808e-09,5.4595485750296662e-10,-1.4225623118837184e-09,-3.1270276400526355e-09,-3.8802708605289307e-09
0.3125,1.3914707981809673e-08,1.1422760285354758e-08,4.6572751109286912e-09,5.05660733334405e-10,-1.4972405347909194e-09,-3.259905233192912e-09,-4.0901027213118488e-09
0.315,1.3958401106315948e-08,1.1462563153669863e-08,4.6410252014238845e-09,4.3848370451117905e-10,-1.6007384727714029e-09,-3.4258418534956491e-09,-4.3521991587398577e-09
0.3175,1.3989631944835772e-08,1.1486184899638445e-08,4.6044003023536726e-09,3.488091131032993e-10,-1.7272586897229601e-09,-3.6151521246875149e-09,-4.6507823239128269e-09
0.32,1.4011730005968414e-08,1.1497414642778507e-08,4.5516687425437893e-09,2.414809606568265e-10,-1.8708730512243058e-09,-3.8184713071492819e-09,-4.9688560631056736e-09
0.3225,1.4028205911760756e-08,1.1500357580766478e-08,4.4875091010195812e-09,1.2168510242819687e-10,-2.0256841171619145e-09,-4.0271452768737393e-09,-5.2893585187610373e-09
0.325,1.4042129772223718e-08,1.1498781480981984e-08,4.4164536789584512e-09,-5.5689025007540103e-12,-2.1862738053008398e-09,-4.2337734614318327e-09,-5.5969016456853379e-09
0.3275,1.4056140695632416e-08,1.149608834228647e-08,4.3426922190625707e-09,-1.3570893433496545e-10,-2.3478756090782897e-09,-4.4324384778610473e-09,-5.8787784562025863e-09
0.33,1.4072234671939008e-08,1.1494966805338027e-08,4.2696580344792517e-09,-2.6498539343794447e-10,-2.5067203580790432e-09,-4.6190673409964441e-09,-6.1258644528168994e-09
0.3325,1.409176001231042e-08,1.1497438302699232e-08,4.2002258338918715e-09,-3.9016082148169902e-10,-2.6596480930054408e-09,-4.7910354532816673e-09,-6.3325858504131609e-09
0.335,1.4115824130294304e-08,1.150527894676065e-08,4.1370837513912867e-09,-5.0809684472712619e-10,-2.8035913049080913e-09,-4.9462224915778437e-09,-6.4954945646092314e-09
0.3375,1.4145353592375195e-08,1.1520136030784098e-08,4.0827934894828258e-09,-6.158320494491777e-10,-2.9356741151770099e-09,-5.0830652259221389e-09,-6.6143053162204661e-09
0.34,1.4181302028839927e-08,1.1543558104531977e-08,4.039612086127314e-09,-7.108558782110412e-10,-3.0535242481104185e-09,-5.2009377283707826e-09,-6.6925937045151425e-09
0.3425,1.4224905940673465e-08,1.1577327298517502e-08,4.0100940366195903e-09,-7.9022470133047001e-10,-3.1542918514420331e-09,-5.2989499636606973e-09,-6.7355464536895846e-09
