Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.275,1.1483023175433206e-09,9.8647902267378385e-10,8.5615350952219712e-10,6.4202807238404184e-10,4.9366236545294861e-10,4.3151882102998988e-10,4.1878784926866387e-10
0.2775,1.1549207091530304e-09,9.8855894724141617e-10,8.5619645287526431e-10,6.4200571122665586e-10,4.912551712114422e-10,4.2750691336153048e-10,4.1505682806318478e-10
0.28,1.1623275152629676e-09,9.9133562385042726e-10,8.5690785651169671e-10,6.4281111876813244e-10,4.8989876885346071e-10,4.2467467587354681e-10,4.1218660506370518e-10
0.2825,1.1709852434093918e-09,9.9539092107231825e-10,8.5889415513404371e-10,6.4513463485073897e-10,4.9040847573964773e-10,4.2401293797328863e-10,4.1132239553960719e-10
0.285,1.1812305668899509e-09,1.0011048364050512e-09,8.6252172581080054e-10,6.4936383287255293e-10,4.932146308387859e-10,4.2604495576555809e-10,4.1311891152052161e-10
0.2875,1.1929872413678789e-09,1.008489478765609e-09,8.6781390075851927e-10,6.5549740012471222e-10,4.9826797797570755e-10,4.3071170608165725e-10,4.1761974821133341e-10
0.29,1.2059869565185325e-09,1.0173076267860231e-09,8.7452037014137363e-10,6.6322735768916717e-10,5.051469014344198e-10,4.3749045161849901e-10,4.2436697467529575e-10
0.2925,1.2196988890285072e-09,1.0270516568111344e-09,8.8210674108167319e-10,6.7194568642333635e-10,5.1309733650786571e-10,4.4546042183514965e-10,4.3245170811466204e-10
0.295,1.2335760759678284e-09,1.037151604557784e-09,8.8996359966444034e-10,6.8096374274554698e-10,5.2128495125303729e-10,4.5359757602062436e-10,4.4080770468703654e-10
0.2975,1.2470108423956133e-09,1.046950024046614e-09,8.9742706902038277e-10,6.8956256894963108e-10,5.2887012116080961e-10,4.6088916203420973e-10,4.4833625777021731e-10
0.3,1.2594865151274773e-09,1.0558341353375674e-09,9.0383501685634154e-10,6.9699710715632492e-10,5.349872039743379e-10,4.6630853476885617e-10,4.5389280526306779e-10
0.3025,1.2703893048382373e-09,1.0631437355175006e-09,9.0852479817721959e-10,7.0256106262336533e-10,5.3885304498708014e-10,4.6897112985136077e-10,4.5648221615913254e-10
0.305,1.2792802590059426e-09,1.0683752121745817e-09,9.1096017646300848e-10,7.056839204743712e-10,5.3985435392401878e-10,4.6822076518065093e-10,4.5535843903407286e-10
0.3075,1.285967996844421e-09,1.0712839274582497e-09,9.1085870705319858e-10,7.0608061419331016e-10,5.3770815202757026e-10,4.6378716096672885e-10,4.5018801579977397e-10
0.31,1.2904721680978415e-09,1.0718619494068433e-09,9.0820251578240467e-10,7.037806744025587e-10,5.3251721152830605e-10,4.5585474752411752e-10,4.4113534903451521e-10
0.3125,1.2930433843517437e-09,1.0703309009851238e-09,9.0319023545132915e-10,6.9902140953515428e-10,5.2462608180982888e-10,4.4489133686409995e-10,4.286925003512147e-10
0.315,1.2939671550356263e-09,1.0669549141492892e-09,8.9605878002643199e-10,6.9207774110191657e-10,5.1443106190518391e-10,4.3144463935405792e-10,4.1347569241712477e-10
0.3175,1.2935625956691688e-09,1.0620561617847412e-09,8.8711129957233775e-10,6.832763491548062e-10,5.0236405112425091e-10,4.1610101211800277e-10,3.9617724923264385e-10
0.32,1.2921312720759169e-09,1.0559832067013937e-09,8.766922658757949e-10,6.7298344647875629e-10,4.88872346417533e-10,3.9944542312669223e-10,3.7750844734278573e-10
0.3225,1.2899951391461343e-09,1.0490577812092352e-09,8.6510324035828791e-10,6.6151519467370124e-10,4.7432070185170076e-10,3.819500599659179e-10,3.5807522583558528e-10
0.325,1.2874566928372582e-09,1.0416202396408508e-09,8.5268111421361159e-10,6.49223604672538e-10,4.5908936873166742e-10,3.6406913653699871e-10,3.3845723962836517e-10
0.3275,1.2847899047931955e-09,1.0339889677664242e-09,8.3974193360595735e-10,6.3643527105959246e-10,4.4351711414072034e-10,3.461802457791303e-10,3.1913811336024877e-10
0.33,1.2821567751092307e-09,1.0263842588451375e-09,8.2653772079068065e-10,6.2342878145453448e-10,4.2789114191267688e-10,3.2858665689214359e-10,3.0050528214147429e-10
0.3325,1.2797191839675326e-09,1.0190148200528433e-09,8.1327732906726349e-10,6.1041806475698417e-10,4.1241693575631533e-10,3.1146882228165486e-10,2.8278200493716086e-10
0.335,1.2775913356470513e-09,1.0120353650746982e-09,8.0014287387058587e-10,5.9761587656334952e-10,3.9730881205496115e-10,2.9501261591430446e-10,2.6617813955807136e-10
0.3375,1.275896949739691e-09,1.005658133379814e-09,7.8739218551906485e-10,5.8530425379631455e-10,3.8285139334615358e-10,2.7945786639630438e-10,2.5091231988925175e-10
0.34,1.2746927586236312e-09,1.000004938508487e-09,7.752007260666161e-10,5.7367950365082199e-10,3.6924209262504151e-10,2.6493914816524382e-10,2.3704195981562437e-10
0.3425,1.2740796984747448e-09,9.9523518593781594e-10,7.6378037928773086e-10,5.6297916773211889e-10,3.5672253419483889e-10,2.5163320892430705e-10,2.2463427636449671e-10
0.345,1.2742046055542744e-09,9.9154818823604205e-10,7.5333862129297973e-10,5.534162667495862e-10,3.4550852466093316e-10,2.3968697701266376e-10,2.1370436906271505e-10
0.3475,1.2752012223292121e-09,9.8915152358603226e-10,7.4411322528929145e-10,5.4523502308387606e-10,3.3585680077521948e-10,2.2930345436391849e-10,2.0432730916086835e-10
0.35,1.2773079167575923e-09,9.8832756311559142e-10,7.3644568002489158e-10,5.3881031967467276e-10,3.2818161014554128e-10,2.2088472120890322e-10,1.9682285006224356e-10
0.3525,1.280795845729414e-09,9.8939657957120796e-10,7.306885719247059e-10,5.3450535936456953e-10,3.2288992857489628e-10,2.1485326224716919e-10,1.9156032813444646e-10
0.355,1.285903448564744e-09,9.9264467640420489e-10,7.2717621721607079e-10,5.326733605316551e-10,3.2038995320534209e-10,2.1166167121099357e-10,1.8896373503499101e-10
