Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.245,1.3070292600211245e-11,1.9053639755951484e-11,1.9929568857444565e-11,1.9930141655053303e-11,1.9930646050593915e-11,1.9933793962156912e-11,1.9927715973857744e-11
0.2475,1.3030540760548318e-11,1.8952569435049901e-11,1.9882108946335203e-11,1.9880449454505542e-11,1.9879808925842043e-11,1.9875668330264927e-11,1.9874450292301771e-11
0.25,1.2981217383209274e-11,1.8836360350376219e-11,1.9822269003291898e-11,1.9822299102085783e-11,1.9822082870769417e-11,1.9821038647709627e-11,1.9823004980998587e-11
0.2525,1.2948141355983254e-11,1.8737723998347512e-11,1.9779658236293682e-11,1.9777884140187095e-11,1.9779088511707212e-11,1.9777828919383726e-11,1.9775613222786699e-11
0.255,1.2903231589603361e-11,1.8621161683264208e-11,1.9725189556046635e-11,1.9723040436885723e-11,1.9725776327785712e-11,1.9722899940873066e-11,1.9725871280960432e-11
0.2575,1.2860232978450599e-11,1.8506458775681424e-11,1.9672332728186888e-11,1.9670169985066607e-11,1.9669462645721466e-11,1.9661339722506952e-11,1.9656484536057142e-11
0.26,1.2810594729417667e-11,1.8381015445380444e-11,1.9617016961842781e-11,1.9615308344715815e-11,1.9617697429775111e-11,1.9616773135594846e-11,1.9607550149691517e-11
0.2625,1.2760583632318183e-11,1.8255724362454311e-11,1.9563437252798052e-11,1.9561298693172941e-11,1.955621282688293e-11,1.9558128238916913e-11,1.9553117805704402e-11
0.265,1.271849758544501e-11,1.8131585476567008e-11,1.9512912827020895e-11,1.9510596797059794e-11,1.9511853839517991e-11,1.9508474662882668e-11,1.9511953060871632e-11
0.2675,1.2669125459508318e-11,1.8001620547513788e-11,1.9455337333743053e-11,1.9455317196518883e-11,1.945826259656538e-11,1.9458185295474804e-11,1.9469218656643981e-11
0.27,1.2619440935355704e-11,1.7867170208739567e-11,1.9403521176458113e-11,1.9404816966006972e-11,1.9402181756680663e-11,1.9395902377519036e-11,1.9410359692661113e-11
0.2725,1.2571260815062549e-11,1.7731652388885391e-11,1.9343791066942618e-11,1.9342287879467452e-11,1.9339971921173085e-11,1.9341455170990254e-11,1.9338263747181853e-11
0.275,1.2515950132663927e-11,1.7590688102094057e-11,1.9287024386085307e-11,1.9283912858154096e-11,1.9280938190098243e-11,1.9276939571847536e-11,1.9272780483228119e-11
0.2775,1.2467654383226171e-11,1.7455412297332315e-11,1.9236861301811213e-11,1.9234972593436932e-11,1.9237889601052364e-11,1.9244083080080264e-11,1.9239673359836538e-11
0.28,1.2409988108873079e-11,1.7309792538118311e-11,1.9172952073268661e-11,1.9169302207428228e-11,1.9173000986222387e-11,1.9179290302815735e-11,1.9171082182254864e-11
0.2825,1.2366494656243303e-11,1.7177702686500413e-11,1.9128463012528572e-11,1.9126413310446083e-11,1.9124335675324207e-11,1.9127542621665404e-11,1.9126539996594587e-11
