Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.3,3.0703106638418128e-05,-8.0367402396005989e-07,-1.1205392585326849e-10,-4.3410695454156435e-10,-4.6194929726375956e-09,-7.3216895826810545e-09,-7.3019005048209206e-09
0.3025,3.1348845401457971e-05,-8.3267548435164604e-07,3.6990841698488019e-09,3.5153825675146122e-09,-1.3589527875770209e-09,-6.9835492731239772e-09,-1.050063395038535e-08
0.305,3.1998564723657378e-05,-8.6060680426422608e-07,5.0342009962563784e-09,5.837487441754922e-09,9.0217309132117785e-10,-6.6894409360930966e-09,-1.3697122497203428e-08
0.3075,3.2658802418312722e-05,-8.8181969937765119e-07,4.1512811745165991e-09,6.1816394111196198e-09,1.8233898971366657e-09,-6.6828112966812674e-09,-1.6604734254203786e-08
0.31,3.331929232232332e-05,-8.928805259209616e-07,1.7533248402287621e-09,4.364393208030701e-09,1.1006807355165022e-09,-7.234192173275312e-09,-1.8963667399572381e-08
0.3125,3.3977315770238601e-05,-8.9470655788304185e-07,-1.3660924902159974e-09,6.1575514398518105e-10,-1.3638751474605168e-09,-8.5733164169554887e-09,-2.0625225729480252e-08
0.315,3.4636350201454151e-05,-8.896437676917686e-07,-4.6663387070075009e-09,-4.742397709780896e-09,-5.5644815312042527e-09,-1.0899113044514913e-08,-2.1554435961781082e-08
0.3175,3.5280160497637371e-05,-8.8099268426958671e-07,-7.8459699631219622e-09,-1.1146446592704131e-08,-1.1202071209831959e-08,-1.4246276962435733e-08,-2.1697034634628699e-08
0.32,3.5897940349839159e-05,-8.7294721460369848e-07,-1.0995742517680185e-08,-1.7960239147179436e-08,-1.7729720039615404e-08,-1.8448208067098338e-08,-2.1061675667061864e-08
0.3225,3.6495740436304529e-05,-8.6723466557437643e-07,-1.4551782505903785e-08,-2.5264194492075856e-08,-2.5050022215892657e-08,-2.3458960320308393e-08,-1.9658453117491955e-08
0.325,3.7068170920850672e-05,-8.6734288677815315e-07,-1.8832931609844523e-08,-3.291600732037363e-08,-3.2849413121283095e-08,-2.9004083699638921e-08,-1.7526432919388096e-08
0.3275,3.7612525132703948e-05,-8.7571743994692215e-07,-2.4373969769509462e-08,-4.082837495828913e-08,-4.0856858388039022e-08,-3.4717834456195627e-08,-1.477218615867577e-08
0.33,3.8124633094137095e-05,-8.9410777089987771e-07,-3.1775462878244788e-08,-4.8980741880912433e-08,-4.8826637693924421e-08,-4.0183478476424808e-08,-1.1583794223074286e-08
0.3325,3.8600414945311309e-05,-9.2367514988436688e-07,-4.1588796100823858e-08,-5.7402282306096701e-08,-5.652506787651472e-08,-4.4973708446352789e-08,-8.2290860254008684e-09
0.335,3.9046164596383661e-05,-9.6749903392417313e-07,-5.4811526579891278e-08,-6.6513356276290437e-08,-6.3994162658590632e-08,-4.8772993461518405e-08,-4.9517665686313494e-09
0.3375,3.9450999133036637e-05,-1.0272255122838305e-06,-7.189840938016067e-08,-7.6160625511717861e-08,-7.0805104861435536e-08,-5.1012116786125314e-08,-2.2043866680101227e-09
0.34,3.9808004985742771e-05,-1.1004409113492181e-06,-9.2564605332730786e-08,-8.5869919302062111e-08,-7.6405310622202637e-08,-5.1254161221674946e-08,-4.5940791582920833e-10
0.3425,4.0122809172171616e-05,-1.186828470913348e-06,-1.166184835550811e-07,-9.5528315569646013e-08,-8.0482460113955412e-08,-4.9301412559146756e-08,1.164695214891672e-11
0.345,4.0395839222630254e-05,-1.2824583250092281e-06,-1.4281410549349382e-07,-1.0471720840019677e-07,-8.2755715213292586e-08,-4.5215591559011899e-08,-8.9923695735551081e-10
0.3475,4.0635841792102529e-05,-1.3789056547855301e-06,-1.6867621509559771e-07,-1.1270482310235233e-07,-8.3187488490049548e-08,-3.9539439894690633e-08,-3.0318924976112988e-09
0.35,4.084895643406833e-05,-1.4822880058888365e-06,-1.9475597398743753e-07,-1.1943977242538131e-07,-8.1629586780477205e-08,-3.2351611171866634e-08,-6.18129125951714e-09
0.3525,4.1045522140224968e-05,-1.590885575086075e-06,-2.1965781560397135e-07,-1.2422787809594189e-07,-7.7987042372709243e-08,-2.4156617671401704e-08,-1.0010141988973157e-08
0.355,4.1229686519145054e-05,-1.701597093707856e-06,-2.4209886429750575e-07,-1.263594759056012e-07,-7.2213403141453383e-08,-1.5558005670595459e-08,-1.4080730551733805e-08
