Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.3325,5.6131193066363844e-06,1.0771066870859796e-06,4.9701792673103027e-08,3.0255047266320354e-09,6.8671049491711013e-10,1.3765941650371349e-10,1.4386342044311151e-11
0.335,5.4794549581646997e-06,1.0781808612551857e-06,5.08351801993402e-08,3.1114780327507256e-09,6.9653227635405348e-10,1.3766850642939166e-10,1.6043916315799201e-11
0.3375,5.3477655888400932e-06,1.0806798644442248e-06,5.1968946592854516e-08,3.1967291884034516e-09,7.0458852874934025e-10,1.3603660154807261e-10,1.6792193091485672e-11
0.34,5.217946316102604e-06,1.084625959899402e-06,5.3089970381685319e-08,3.2808512475291183e-09,7.1123679299313639e-10,1.3340078010874601e-10,1.6589198310397021e-11
0.3425,5.089875312728303e-06,1.0900598792146142e-06,5.4192002840476615e-08,3.3631092013682954e-09,7.1683709439172753e-10,1.3040262648653726e-10,1.5519122191683454e-11
0.345,4.9634002617996455e-06,1.097040373224316e-06,5.5269486750264085e-08,3.4423904999068689e-09,7.2160729254842567e-10,1.2755228984989733e-10,1.3758779462778836e-11
0.3475,4.8385246818517488e-06,1.105582419826811e-06,5.631777347112748e-08,3.5177087305749639e-09,7.2562946411976888e-10,1.2510538391884212e-10,1.1526279822275597e-11
0.35,4.7151078370168089e-06,1.1157018267316017e-06,5.7338755252603972e-08,3.587776773814431e-09,7.2858505057851961e-10,1.2315988585165456e-10,9.1577095041042924e-12
0.3525,4.5931145315213949e-06,1.1272435433599944e-06,5.8324494250571204e-08,3.6510712407715176e-09,7.2992122634109849e-10,1.2173688620261607e-10,6.9635204836397869e-12
0.355,4.47260089012836e-06,1.1399415930247849e-06,5.9263997579979039e-08,3.7062239149019868e-09,7.29042312562402e-10,1.207903525408204e-10,5.140425695653437e-12
0.3575,4.3536232763377377e-06,1.1534875552820725e-06,6.0147701311869211e-08,3.752034070600797e-09,7.2547412867475902e-10,1.2019803894768229e-10,3.7563555009478898e-12
0.36,4.2361951726084594e-06,1.1676028878141313e-06,6.0969539559055368e-08,3.7874007394731413e-09,7.1892494132486687e-10,1.1976838350187244e-10,2.7851537431306122e-12
0.3625,4.1203066486543107e-06,1.1820828221017164e-06,6.1728098498260732e-08,3.81157655934922e-09,7.092734893874434e-10,1.1927255165065476e-10,2.1554336434173035e-12
0.365,4.0059419321491042e-06,1.19680873372723e-06,6.2427514582947257e-08,3.8244724339642238e-09,6.96567637858325e-10,1.1849213369077683e-10,1.7889682319345083e-12
0.3675,3.8931262519867854e-06,1.2117377526967696e-06,6.3078151163518661e-08,3.8267925877796085e-09,6.8104916642708254e-10,1.1726420212061162e-10,1.6208368080166956e-12
