Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
1.54,-1.3582565159569262e-08
1.5425,-1.3635536196873997e-08
1.545,-1.369243976248848e-08
1.5475,-1.3761288247235615e-08
1.55,-1.3834141592654155e-08
1.5525,-1.3910663162618682e-08
1.555,-1.3993407154554286e-08
1.5575,-1.408181177852378e-08
1.56,-1.4172497298406196e-08
1.5625,-1.4268162798977613e-08
1.565,-1.4371309220800329e-08
1.5675,-1.4478380307977642e-08
1.57,-1.4592187982975524e-08
1.5725,-1.47060009510834e-08
1.575,-1.4819744950575867e-08
1.5775,-1.4933630918535691e-08
1.58,-1.504694026758945e-08
1.5825,-1.5165276588251765e-08
1.585,-1.5285879192155135e-08
1.5875,-1.5405053861767097e-08
1.59,-1.552270942651583e-08
1.5925,-1.5644270366191472e-08
1.595,-1.5760809809559611e-08
1.5975,-1.5878065721491497e-08
1.6,-1.5993219056161716e-08
1.6025,-1.610909115558343e-08
1.605,-1.6225726663138784e-08
1.6075,-1.6342931930813887e-08
1.61,-1.6457973440287424e-08
1.6125,-1.6576934833689362e-08
1.615,-1.6688027914196773e-08
1.6175,-1.6803459456457438e-08
1.62,-1.6920487166681256e-08
1.6225,-1.7038862160627755e-08
1.625,-1.7159185651897869e-08
1.6275,-1.7278330700057362e-08
1.63,-1.7402750091339467e-08
1.6325,-1.7532451109311967e-08
1.635,-1.766181662964941e-08
1.6375,-1.779358567660073e-08
1.64,-1.7928226442904759e-08
1.6425,-1.8065597744754809e-08
1.645,-1.8208562252469053e-08
1.6475,-1.8351643702417007e-08
1.65,-1.8494536550756005e-08
1.6525,-1.8643581230476292e-08
1.655,-1.8798488175410267e-08
1.6575,-1.8950204722288208e-08
1.66,-1.9107511342092713e-08
1.6625,-1.9269745853882193e-08
1.665,-1.9434738940438309e-08
1.6675,-1.9604731731279217e-08
1.67,-1.9773659055622145e-08
1.6725,-1.9949782329096156e-08
1.675,-2.0129610349035553e-08
1.6775,-2.0307379334765181e-08
1.68,-2.0485625564944468e-08
1.6825,-2.0667117818756721e-08
1.685,-2.0845683091929586e-08
1.6875,-2.1026757867312592e-08
1.69,-2.1201567471404842e-08
