Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.285,1.0065457049623193e-08,1.270534283312554e-08,1.3165769459511505e-08,1.3165777994703446e-08,1.3165778089817588e-08,1.3165778110463298e-08,1.3165778111940154e-08
0.2875,9.989880971155493e-09,1.2610108559025158e-08,1.3087774627490561e-08,1.3087784151143419e-08,1.3087784248135157e-08,1.3087784269091945e-08,1.3087784270581737e-08
0.29,9.9156978287194765e-09,1.2515180702519648e-08,1.3010876688729701e-08,1.3010887340441416e-08,1.3010887439387223e-08,1.301088746066156e-08,1.3010887462164407e-08
0.2925,9.846509722909627e-09,1.2424196162253873e-08,1.2938731796040725e-08,1.2938743712494471e-08,1.293874381348929e-08,1.2938743835091852e-08,1.293874383660793e-08
0.295,9.7802286338972418e-09,1.2335114563152423e-08,1.2869288395068047e-08,1.2869301730827378e-08,1.2869301833964327e-08,1.286930185590568e-08,1.2869301857435507e-08
0.2975,9.7145732739671464e-09,1.2245696799072873e-08,1.2800295115775777e-08,1.280031006127331e-08,1.2800310166639622e-08,1.2800310188928557e-08,1.2800310190472653e-08
0.3,9.6460956121411517e-09,1.2152531745651891e-08,1.2728326737314503e-08,1.2728343550216205e-08,1.2728343657888829e-08,1.2728343680530723e-08,1.2728343682089166e-08
0.3025,9.576705834444058e-09,1.2057604934587319e-08,1.2655328740042805e-08,1.2655347713417357e-08,1.2655347823482311e-08,1.2655347846483295e-08,1.2655347848056151e-08
0.305,9.5081828418128519e-09,1.1962776535163265e-08,1.2583109061334007e-08,1.258313051510847e-08,1.2583130627663857e-08,1.2583130651032699e-08,1.2583130652620375e-08
0.3075,9.4393670443470193e-09,1.1866970985749571e-08,1.2510526700670137e-08,1.2510551016045535e-08,1.2510551131189907e-08,1.2510551154936264e-08,1.2510551156539498e-08
