Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.3,-2.0059412741797446e-16,-1.9681026249522021e-16,1.4880374915534906e-16,-1.7964748422422207e-17,-1.4933319075924709e-18,8.5239039984923124e-17,9.6804808464513888e-17
0.3025,-1.9322550683599431e-16,-1.7518867509387266e-16,-2.3166387176203639e-16,-9.0848971809344117e-17,-1.1954361524905594e-16,-1.3748171365464215e-16,-1.5666454718294703e-16
0.305,2.2398601846654733e-16,2.4013150140002872e-16,3.2788093886554494e-16,3.3221675280801764e-16,3.0710736497271025e-16,3.2912670775227844e-16,3.3275669836642044e-16
0.3075,9.4947166082506353e-17,1.1178943208799283e-16,1.073190433925463e-16,1.3877292981397696e-16,1.9725095789838898e-16,2.2134162196437914e-16,2.258963648700505e-16
0.31,-2.7667860095877365e-16,-2.1968349221136192e-16,-3.6987663145116222e-16,-4.9271005401352516e-16,-4.7557935996444776e-16,-5.2741792979562791e-16,-5.207462902321454e-16
0.3125,3.6796441704908068e-17,5.6073590162678007e-17,4.4804374315043585e-17,4.7717841411453267e-17,9.0640261217069551e-17,1.6139810816017089e-16,1.3645253227383046e-16
0.315,2.3945676131361704e-16,2.1493323331702976e-16,1.1171901523823136e-16,1.9024402431806298e-16,2.0337942125560044e-16,2.2079949188579635e-16,2.2011345530009862e-16
0.3175,-1.6591518667176182e-16,-2.9764245343722029e-16,-4.8902855509225555e-16,-4.3476422744134732e-16,-4.5925118693625673e-16,-4.5530575709770852e-16,-4.4552805351949407e-16
0.32,-8.4292418988746232e-17,6.3185696998090733e-20,-3.3545805950212167e-16,-3.3082473391206433e-16,-2.6428441648250977e-16,-2.4514564913809782e-16,-2.6629455576685336e-16
0.3225,4.3809523690015256e-16,3.4733030295415596e-16,1.8469907961711467e-16,6.4323193956187442e-17,2.5122119974842396e-17,4.4938147032521204e-17,3.8773002043243818e-17
0.325,-3.8046950824551392e-17,-9.8647941640891523e-17,1.4268387998941681e-16,1.5500193045118979e-16,2.5511388987597579e-16,2.2986819467988523e-16,2.4387545289704465e-16
0.3275,3.3898953346288923e-17,1.3330716259929034e-17,-6.7465128768825282e-17,-1.6599861327368148e-16,-2.0794180994653441e-16,-1.7171489483125379e-16,-1.5918251216137519e-16
0.33,-3.1318520273113062e-16,-3.2853794807248793e-16,-3.133520253920043e-17,6.2879316023029345e-17,1.42119594621281e-16,7.1006604965188198e-17,1.2429740678554967e-16
0.3325,2.5120071100063401e-16,1.631418881444741e-16,1.838951067556617e-16,1.8088346274045167e-16,1.7086847294602401e-16,2.1734089611719232e-16,2.3898898853757425e-16
0.335,8.2838978205551024e-17,8.9830327708142108e-17,1.8499245334973023e-16,1.5699509572131376e-16,2.5135426007635646e-16,1.5724870962238644e-16,1.3632947518566365e-16
0.3375,-2.459257736426915e-16,-3.3482893287112065e-16,-2.9693925791727989e-16,-2.3499284470782454e-16,-1.9144766343349129e-16,-1.9761212433331475e-16,-2.2617888596309456e-16
0.34,1.0377220213850029e-16,2.1515062644044228e-16,2.6612974132478066e-16,2.5003162503718631e-16,1.5592275132443398e-16,1.1569426213166064e-16,1.4567325233676559e-16
0.3425,-1.3618987316361405e-16,-1.3435713664990853e-16,-1.3133293316045429e-16,-7.3973044013393116e-17,1.0324675091083652e-17,-5.342246975439946e-18,-3.1695795885890693e-17
0.345,1.757087692693476e-18,-1.9502206204123812e-17,8.7251674789627616e-17,-2.3714354837532672e-17,-4.0242836445015589e-17,1.0136964705459714e-17,5.4434478394105894e-17
