Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
0.3675,4.5941764995018977e-05,7.5349043944275884e-05,0.00012471765126419567,0.00012650341632145344,0.00012684241375221972,0.00012709028393803932,0.00012720565896280389
0.37,4.5805036115920617e-05,7.5136185881147951e-05,0.0001247770924925041,0.00012663423030617632,0.00012697608911413041,0.00012722579836409471,0.00012734181022638568
0.3725,4.5666261436952591e-05,7.4931331865933163e-05,0.00012483249099721011,0.00012676665509198286,0.00012711144054747869,0.00012736301304302079,0.00012747966817991388
0.375,4.5529662257720218e-05,7.473857271602253e-05,0.000124882216686612,0.00012689698648369062,0.00012724472123070682,0.00012749816505531168,0.00012761545916549334
0.3775,4.5393857097919755e-05,7.455601997841566e-05,0.00012492627346167825,0.00012702619450713284,0.00012737691666861933,0.00012763224740518919,0.00012775018508965106
0.38,4.5258553576860878e-05,7.4382934056415432e-05,0.00012496456110474969,0.00012715467692866068,0.00012750842823179315,0.00012776565999411343,0.0001278842411717284
0.3825,4.5123684799130502e-05,7.4218824229692554e-05,0.00012499682913784472,0.00012728256048706821,0.00012763938387280391,0.00012789852865376669,0.00012801774857273049
0.385,4.498924610759051e-05,7.4063273647772315e-05,0.00012502272306563034,0.00012740985514697861,0.00012776979522130191,0.00012803086514742061,0.00012815071998968289
0.3875,4.4855257963563362e-05,7.3915898083499115e-05,0.00012504178532681332,0.00012753651575614133,0.00012789962043350934,0.00012816263169348764,0.00012828312665484512
0.39,4.4721708804122141e-05,7.3776283287226312e-05,0.00012505344766911087,0.00012766247466749019,0.0001280287915184463,0.00012829375645329665,0.00012841488965125244
0.3925,4.4588579570168937e-05,7.3644013595049106e-05,0.00012505707713623412,0.00012778766420951037,0.00012815724136568156,0.00012842416984794639,0.0001285459349646232
0.395,4.4455847797139235e-05,7.351867815423372e-05,0.00012505200215638782,0.00012791203548478416,0.00012828492436597582,0.00012855382934304937,0.00012867622621175236
0.3975,4.4323488046429729e-05,7.3399869430934399e-05,0.00012503750758722606,0.00012803551958538058,0.00012841177221250877,0.00012868266422236282,0.00012880568803584467
0.4,4.4191477489194814e-05,7.3287193877513793e-05,0.00012501288964773317,0.00012815807353738258,0.00012853774594672577,0.00012881063973679924,0.00012893429413444557
0.4025,4.4059783724917361e-05,7.3180257301883427e-05,0.00012497745953843185,0.00012827965597034163,0.0001286628056570872,0.00012893771475503904,0.00012906200107208938
0.405,4.3927268840950649e-05,7.3077563784388131e-05,0.00012493045726704894,0.00012840167153949615,0.00012878837493765594,0.00012906531625898551,0.00012919023241330193
0.4075,4.3793836582160811e-05,7.2978685462631295e-05,0.00012487116401660878,0.00012852431425106981,0.00012891465325545013,0.00012919364539033375,0.00012931919230636791
0.41,4.3659704785577606e-05,7.2883520429338527e-05,0.0001247989654423667,0.00012864730241431472,0.00012904135792526447,0.00012932241813166847,0.00012944859686530953
0.4125,4.3524575138460456e-05,7.2791456439130918e-05,0.00012471322409473475,0.00012877095326295694,0.00012916880231821423,0.00012945192809133213,0.00012957873909019552
