Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.2275,9.738376565126561e-10,8.8483835718910974e-10,7.8733604726472876e-10,5.8610082391730053e-10,4.8606281554049584e-10,4.457487571016556e-10,4.5407360030937204e-10
0.23,9.5413237061351955e-10,8.5996069931569924e-10,7.5862033459021271e-10,5.4714168710485329e-10,4.3665190324235374e-10,3.8596571140255983e-10,3.8869051583942754e-10
0.2325,9.3755505304595022e-10,8.3815036588817403e-10,7.331098762367615e-10,5.1230705202412414e-10,3.9215060840221453e-10,3.3144420035421481e-10,3.2773396707992616e-10
0.235,9.261984849933704e-10,8.2170325990280825e-10,7.1328372620343559e-10,4.845957112867063e-10,3.5610993911969786e-10,2.8638783807843956e-10,2.7588028485054522e-10
0.2375,9.2154356188751877e-10,8.1230387334981518e-10,7.0100096828746837e-10,4.662836640035907e-10,3.3124953765294991e-10,2.5408471927225658e-10,2.3692090768348686e-10
0.24,9.2445979909746217e-10,8.1092584882532705e-10,6.9732025583563887e-10,4.5872970856274461e-10,3.192705727324272e-10,2.3670097984132033e-10,2.1352776569091187e-10
0.2425,9.3504727066043964e-10,8.1784116646707963e-10,7.0258158888272479e-10,4.6234222675606325e-10,3.2067525536356819e-10,2.3499154891350252e-10,2.0688267414775161e-10
0.245,9.5266794360788814e-10,8.3244734183354932e-10,7.1615929538756886e-10,4.7636228451273596e-10,3.3460887167196743e-10,2.4813148052693186e-10,2.1648117511662887e-10
0.2475,9.7593569507588162e-10,8.5333185539128629e-10,7.3655095581083017e-10,4.9894562063941614e-10,3.5890259202711758e-10,2.7373244348809352e-10,2.4009401386076854e-10
0.25,1.0028926080489062e-09,8.7843257346961002e-10,7.6153017673686557e-10,5.273623158479141e-10,3.9032001697592295e-10,3.0811169235837502e-10,2.7400795572384906e-10
0.2525,1.0314525709447024e-09,9.0542784472967568e-10,7.8852974213341176e-10,5.5844932987920359e-10,4.251065400071933e-10,3.4692785100960237e-10,3.1367927729883674e-10
0.255,1.0596054015934423e-09,9.3217369654829963e-10,8.1535327400233259e-10,5.8953736409070327e-10,4.6006500697532863e-10,3.864262625268896e-10,3.5513743975742406e-10
0.2575,1.0857365200720241e-09,9.5685243454762449e-10,8.3999162029121554e-10,6.1811999388055788e-10,4.9217188581616421e-10,4.2300564967805493e-10,3.9443861270987258e-10
0.26,1.1087182373701257e-09,9.7818051534133065e-10,8.6105520659453339e-10,6.4244451058541944e-10,5.192716441386317e-10,4.5402380753558025e-10,4.2860388447501616e-10
0.2625,1.1278990164076586e-09,9.95331925484912e-10,8.7762148744904637e-10,6.6137482672720177e-10,5.3998120061011281e-10,4.7774415803627381e-10,4.5556701009437389e-10
0.265,1.1432052020233853e-09,1.0081892474558023e-09,8.8957764501425614e-10,6.7477014120354897e-10,5.5407894953004611e-10,4.9374956339084502e-10,4.7461571246002685e-10
0.2675,1.1550496131414016e-09,1.0170713094076052e-09,8.9721199175334695e-10,6.8298568794743069e-10,5.6198991795463556e-10,5.024420630767946e-10,4.8591226517605825e-10
0.27,1.1641599987916184e-09,1.0227077200937302e-09,9.0128800543496228e-10,6.8696223973407169e-10,5.6484630196566344e-10,5.0508297300292771e-10,4.9056306514054586e-10
