Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.315,7.5678299482568029e-11,5.5440302142220275e-11,-1.1416044480230266e-11,-2.5858229848713494e-11,-2.7396593132507637e-11,-2.7684761377393002e-11,-2.7701799274095847e-11
0.3175,7.6009104447490356e-11,5.5420326514450069e-11,-1.3409527776807214e-11,-2.8399259287506415e-11,-3.0018921292951695e-11,-3.0334011538537937e-11,-3.0355500729139753e-11
0.32,7.6229173213941088e-11,5.5232218609024832e-11,-1.5736719912192344e-11,-3.1310231141025102e-11,-3.3013320348225016e-11,-3.3355407415127531e-11,-3.338209077625002e-11
0.3225,7.6383884535879685e-11,5.492613036603082e-11,-1.8340921705013616e-11,-3.4532401083021086e-11,-3.6319751503446202e-11,-3.6687496047023557e-11,-3.6719786735160669e-11
0.325,7.6515276896903548e-11,5.4553630114436861e-11,-2.1153883265705391e-11,-3.7994342179435226e-11,-3.9865855616793601e-11,-4.0256723215167391e-11,-4.0294526523589126e-11
0.3275,7.6659791240318559e-11,5.41612646216975e-11,-2.4111561305421808e-11,-4.1628944097091262e-11,-4.358388043249719e-11,-4.3994485720761725e-11,-4.4037082206009034e-11
0.33,7.6844101324613588e-11,5.3785914455796786e-11,-2.7156377680566308e-11,-4.5375203273978154e-11,-4.7412492371007874e-11,-4.7839017160108828e-11,-4.7885076354019741e-11
0.3325,7.7084213408769371e-11,5.3455857204035525e-11,-3.0230262207871332e-11,-4.9169822935241139e-11,-5.1288177660895602e-11,-5.1726843000285583e-11,-5.1774598636926064e-11
0.335,7.7391184220422775e-11,5.3193772780600746e-11,-3.3278053884308699e-11,-5.2950700457501821e-11,-5.514858475310776e-11,-5.5595922581951009e-11,-5.5643413907512659e-11
0.3375,7.7776293920906407e-11,5.3026442669272801e-11,-3.6236436860544652e-11,-5.664740270985944e-11,-5.892294209182207e-11,-5.9376043604357584e-11,-5.9421470664937002e-11
0.34,7.8251777983371053e-11,5.2978940403792988e-11,-3.905010266193958e-11,-6.0198483796373892e-11,-6.2549475182029489e-11,-6.3006169746130887e-11,-6.3048250496408343e-11
0.3425,7.8834602157562224e-11,5.3081464372731078e-11,-4.1649782658366294e-11,-6.3525855826612667e-11,-6.5949680526928615e-11,-6.6408589225872717e-11,-6.6446714546435994e-11
0.345,7.9545477461796563e-11,5.3373351713944228e-11,-4.3942870153844693e-11,-6.6524292838473711e-11,-6.9017549265508018e-11,-6.9478024809021024e-11,-6.9512231942551282e-11
0.3475,8.0402436156814508e-11,5.3888571010966479e-11,-4.5850096849810638e-11,-6.9103557161349169e-11,-7.1661805584783324e-11,-7.2123724134049423e-11,-7.2154514109802461e-11
0.35,8.1438051841453845e-11,5.4671627916999521e-11,-4.7287552438508755e-11,-7.1167755145397673e-11,-7.3784992331452773e-11,-7.4248344060106785e-11,-7.4276405354222869e-11
0.3525,8.2692303340991771e-11,5.5777176379118651e-11,-4.8156730081973331e-11,-7.260587552389948e-11,-7.5274035270327638e-11,-7.5738508666737333e-11,-7.5764537644257175e-11
