Physical Time (s),lift Monitor (N)
1.6825,3.9276854982093575e-05
1.685,3.892526809292969e-05
1.6875,3.8444719321124529e-05
1.69,3.7834764226193569e-05
1.6925,3.7096100658612933e-05
1.695,3.6230642888174503e-05
1.6975,3.5241329163162815e-05
1.7,3.4130166525936012e-05
1.7025,3.2899646445901594e-05
1.705,3.1553710032079242e-05
1.7075,3.0094279031317204e-05
1.71,2.852660898716781e-05
1.7125,2.6858702004110498e-05
1.715,2.5088226231505312e-05
1.7175,2.3212664626614433e-05
1.72,2.1248929034814083e-05
1.7225,1.9199576048865516e-05
1.725,1.7067092847666839e-05
1.7275,1.4860196483222298e-05
1.73,1.2593269719704705e-05
1.7325,1.0259969604635254e-05
1.735,7.8756803716723636e-06
1.7375,5.4432086910198478e-06
1.74,2.9744141464533186e-06
1.7425,4.8519732166824626e-07
1.745,-2.0220243864362762e-06
1.7475,-4.5455517760984359e-06
1.75,-7.0768645388449034e-06
1.7525,-9.6080212871094722e-06
1.755,-1.2125259231733276e-05
1.7575,-1.4620616178040736e-05
1.76,-1.7086604772576655e-05
1.7625,-1.9515219224872781e-05
1.765,-2.18980911035943e-05
1.7675,-2.4225580005429037e-05
1.77,-2.6489742525108612e-05
1.7725,-2.868368266280842e-05
1.775,-3.0798204549067861e-05
1.7775,-3.2825661907681333e-05
1.78,-3.4758358404518481e-05
1.7825,-3.6588164202624163e-05
1.785,-3.8308749917784412e-05
1.7875,-3.9916736579576286e-05
1.79,-4.140353616271926e-05
1.7925,-4.2761475516421377e-05
1.795,-4.3985531091417548e-05
1.7975,-4.5069146297903186e-05
1.8,-4.6009316042216519e-05
1.8025,-4.6801539286447545e-05
1.805,-4.744151663415704e-05
1.8075,-4.7925550445194199e-05
1.81,-4.8250479648937166e-05
1.8125,-4.8414478982187451e-05
1.815,-4.8417920234161605e-05
1.8175,-4.826086294231029e-05
1.82,-4.7942326914730674e-05
1.8225,-4.7462365121533553e-05
1.825,-4.6821639473442478e-05
1.8275,-4.6020516337245661e-05
1.83,-4.5058810611636572e-05
1.8325,-4.3938173107262938e-05
1.835,-4.2662503885682642e-05
1.8375,-4.1234968269896376e-05
1.84,-3.9659866026780312e-05
1.8425,-3.7942187798656051e-05
1.845,-3.6084385599361844e-05
1.8475,-3.4091522161869979e-05
1.85,-3.197154086363175e-05
1.8525,-2.9729415047826504e-05
1.855,-2.7371299024637041e-05
1.8575,-2.4904751916626233e-05
1.86,-2.2337186969921678e-05
1.8625,-1.9675703683536168e-05
1.865,-1.6931394076149911e-05
1.8675,-1.4111620309487557e-05
1.87,-1.1224677881634289e-05
1.8725,-8.2800900578149503e-06
1.875,-5.2874540463127501e-06
1.8775,-2.2575615947170841e-06
1.88,7.9970791576520635e-07
1.8825,3.873240461559803e-06
1.885,6.9545562545973753e-06
1.8875,1.0034006681437427e-05
1.89,1.3099053222391569e-05
1.8925,1.6140244269742001e-05
1.895,1.914578630846011e-05
1.8975,2.2105876132391347e-05
1.9,2.5009546207367026e-05
1.9025,2.7846426004763801e-05
1.905,3.0606507002236355e-05
1.9075,3.3279408066673603e-05
1.91,3.5856396171668534e-05
1.9125,3.8327299352404167e-05
1.915,4.0681788319346188e-05
1.9175,4.2912856843292958e-05
1.92,4.5008489660759327e-05
1.9225,4.6959937832048879e-05
1.925,4.8761829008873704e-05
1.9275,5.0408728259043635e-05
1.93,5.1892080090754542e-05
1.9325,5.3206304208764724e-05
1.935,5.4347095722714965e-05
1.9375,5.5309205731658633e-05
1.94,5.6086882628685605e-05
1.9425,5.6675491870097714e-05
1.945,5.7071032716242682e-05
1.9475,5.72724916843774e-05
1.95,5.7277762474481774e-05
1.9525,5.7087491199612639e-05
1.955,5.6699790686876115e-05
1.9575,5.6114323037292931e-05
1.96,5.5332869747346983e-05
1.9625,5.4357363093918743e-05
1.965,5.3189763482675012e-05
1.9675,5.1834185029506093e-05
1.97,5.0293418858613505e-05
1.9725,4.8572103938552028e-05
1.975,4.6673300425335479e-05
1.9775,4.4612382516230116e-05
1.98,4.237900211310759e-05
