Physical Time (s),ev_left Monitor (kg-m/s^3)
1.595,-5.4604657981373661e-08
1.5975,-5.4525497269387556e-08
1.6,-5.4446939165443271e-08
1.6025,-5.4369499347163103e-08
1.605,-5.4293680044945064e-08
1.6075,-5.4219962125407741e-08
1.61,-5.4148797008815001e-08
1.6125,-5.4080597927142015e-08
1.615,-5.4015740521889817e-08
1.6175,-5.3954533316805029e-08
1.62,-5.3897230636907998e-08
1.6225,-5.3844026381971126e-08
1.625,-5.3795016362382709e-08
1.6275,-5.3750199025380411e-08
1.63,-5.370948714700069e-08
1.6325,-5.3672716825822953e-08
1.635,-5.3639651001267837e-08
1.6375,-5.36099815007306e-08
1.64,-5.3583334602037394e-08
1.6425,-5.3559283551425692e-08
1.645,-5.3537364913246103e-08
1.6475,-5.3517088086787224e-08
1.65,-5.3497932998658156e-08
1.6525,-5.3479346179820651e-08
1.655,-5.3460741478555012e-08
1.6575,-5.3441529835158851e-08
1.66,-5.3421150647017089e-08
1.6625,-5.3399091033209171e-08
1.665,-5.3374887945864566e-08
1.6675,-5.3348120580080992e-08
1.67,-5.331840984020871e-08
1.6725,-5.3285431018215687e-08
1.675,-5.3248930020655812e-08
1.6775,-5.3208726407321279e-08
1.68,-5.3164698688725364e-08
1.6825,-5.3116764317841883e-08
1.685,-5.306488611057431e-08
1.6875,-5.3009104113698253e-08
1.69,-5.2949556086114543e-08
1.6925,-5.2886479526711283e-08
1.695,-5.2820195914914378e-08
1.6975,-5.2751088225094025e-08
1.7,-5.2679576801365586e-08
1.7025,-5.2606106400971992e-08
1.705,-5.2531144493586217e-08
1.7075,-5.2455168592197066e-08
1.71,-5.2378648159569422e-08
1.7125,-5.2302005355433149e-08
1.715,-5.2225663584420178e-08
1.7175,-5.215002961340195e-08
1.72,-5.2075514368148868e-08
1.7225,-5.2002524383638639e-08
1.725,-5.1931440826376638e-08
1.7275,-5.1862613687564997e-08
1.73,-5.1796454819815848e-08
1.7325,-5.1733190855056168e-08
1.735,-5.1672910092965618e-08
1.7375,-5.1615610222594215e-08
1.74,-5.1561255811240306e-08
1.7425,-5.1509820049320133e-08
1.745,-5.1461266115483048e-08
1.7475,-5.1415486547501256e-08
1.75,-5.1372287668218827e-08
1.7525,-5.1331453927710281e-08
1.755,-5.1292810464892717e-08
1.7575,-5.1256232257506195e-08
1.76,-5.1221554142474506e-08
1.7625,-5.1188530081855886e-08
1.765,-5.1156826378001479e-08
1.7675,-5.1126053407626027e-08
1.77,-5.1095801907920285e-08
1.7725,-5.1065668869768306e-08
1.775,-5.1035271713556957e-08
1.7775,-5.1004248696983838e-08
1.78,-5.0972264894059614e-08
1.7825,-5.0939026703946602e-08
1.785,-5.0904316301398826e-08
1.7875,-5.0867965454349043e-08
1.79,-5.0829851833221051e-08
1.7925,-5.0789889587624304e-08
1.795,-5.074801298654146e-08
1.7975,-5.0704157045217665e-08
1.8,-5.0658264840209568e-08
1.8025,-5.061030143940232e-08
1.805,-5.0560260725367617e-08
1.8075,-5.0508150574906692e-08
1.81,-5.0454008256724978e-08
1.8125,-5.0397898311083914e-08
1.815,-5.0339907624206107e-08
1.8175,-5.0280157082752953e-08
1.82,-5.0218810823887766e-08
1.8225,-5.0156074080590043e-08
1.825,-5.0092174792403616e-08
1.8275,-5.0027339857248999e-08
1.83,-4.9961784737063598e-08
1.8325,-4.9895715446813907e-08
1.835,-4.9829332761775484e-08
1.8375,-4.9762828834199331e-08
1.84,-4.9696383305449236e-08
1.8425,-4.9630158488260528e-08
1.845,-4.9564299687173139e-08
1.8475,-4.9498939273726991e-08
1.85,-4.9434206666384779e-08
1.8525,-4.9370245960856348e-08
1.855,-4.9307221991102148e-08
1.8575,-4.9245316302078674e-08
1.86,-4.9184655635240054e-08
1.8625,-4.9125297737933387e-08
1.865,-4.9067254124858844e-08
1.8675,-4.9010506540028042e-08
1.87,-4.8955019385668573e-08
1.8725,-4.8900751773863898e-08
1.875,-4.8847650493281743e-08
1.8775,-4.8795678203763793e-08
1.88,-4.874480698713194e-08
1.8825,-4.8694992224456754e-08
1.885,-4.8646168995507339e-08
1.8875,-4.8598248424000966e-08
1.89,-4.8551107496574521e-08
1.8925,-4.8504603168583511e-08
1.895,-4.8458592510472995e-08
1.8975,-4.8412945702056029e-08
1.9,-4.8367542372412123e-08
1.9025,-4.832226256516867e-08
1.905,-4.8276986274217856e-08
1.9075,-4.823160387219915e-08
1.91,-4.8186031392391148e-08
1.9125,-4.8140217074567724e-08
1.915,-4.8094138919141714e-08
1.9175,-4.8047794494127967e-08
1.92,-4.8001183762728184e-08
1.9225,-4.7954289159888113e-08
1.925,-4.7907058068461748e-08
1.9275,-4.7859407630405991e-08
1.93,-4.7811255618385253e-08
1.9325,-4.7762553759725114e-08
1.935,-4.7713296666505662e-08
1.9375,-4.7663511192244089e-08
1.94,-4.7613228040074542e-08
1.9425,-4.7562450132806458e-08
1.945,-4.7511147461891875e-08
1.9475,-4.7459279755559882e-08
1.95,-4.7406831663207281e-08
1.9525,-4.7353834381304238e-08
1.955,-4.730035314489608e-08
1.9575,-4.7246463568009095e-08
1.96,-4.7192215437291296e-08
1.9625,-4.713762767391348e-08
1.965,-4.7082705253493278e-08
1.9675,-4.7027468600100653e-08
1.97,-4.6971968517165457e-08
1.9725,-4.6916279212649125e-08
1.975,-4.6860468771891398e-08
1.9775,-4.6804579285829239e-08
1.98,-4.674862849379015e-08
1.9825,-4.669263287586734e-08
1.985,-4.6636634214885395e-08
1.9875,-4.6580700155738881e-08
