Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.27,6.735573726127611e-08,5.6777652174704214e-08,3.6198279898953252e-08,2.7408354597645335e-08,2.6356403963177242e-08,2.816356912804268e-08,2.5153709761919468e-08
0.2725,7.2522001997442013e-08,6.1215695435818319e-08,3.762320135138649e-08,2.5929377483669707e-08,2.3335645722603199e-08,2.4646604367251021e-08,2.3174792708938708e-08
0.275,7.5986863329138987e-08,6.5092905686202724e-08,4.0792487268960256e-08,2.7225214553418326e-08,2.324579189934657e-08,2.3753315532730634e-08,2.338219740805985e-08
0.2775,7.7794165008589382e-08,6.8218627004005202e-08,4.5242814154189613e-08,3.0906605597786789e-08,2.5847161180942167e-08,2.5361680581695313e-08,2.5675692602774892e-08
0.28,7.8162671213841403e-08,7.0645792954228391e-08,5.0780932919663708e-08,3.6725242911644485e-08,3.0944215650075455e-08,2.9370184186397316e-08,3.0025683122378422e-08
0.2825,7.703287738020698e-08,7.1987445420283846e-08,5.6507421346270182e-08,4.3705812379035671e-08,3.7657434093997864e-08,3.5071961902394083e-08,3.5779677851415548e-08
0.285,7.4404654239833156e-08,7.2139392722241768e-08,6.2115884346361925e-08,5.146100014506416e-08,4.5607405825696445e-08,4.218955540084791e-08,4.2720078379402607e-08
0.2875,7.041364185101557e-08,7.0832976943282229e-08,6.6455294745203536e-08,5.8485130500803458e-08,5.3250270699128015e-08,4.9322113084829962e-08,4.9509716097161535e-08
0.29,6.5301390030248124e-08,6.8137566389707205e-08,6.9090201652390023e-08,6.4018854462343761e-08,5.9721081440333226e-08,5.5637578605897559e-08,5.5381960138969301e-08
0.2925,5.9614317127933307e-08,6.4383253926813848e-08,6.9722539416496003e-08,6.7318784685071585e-08,6.4091715593981935e-08,6.0181677358485382e-08,5.9462505068981376e-08
0.295,5.3428117095278496e-08,5.9670967390239611e-08,6.8435539169677905e-08,6.832037216428325e-08,6.6179824509322788e-08,6.2677019943309374e-08,6.1522082924045467e-08
0.2975,4.6648346717129936e-08,5.3928261886812723e-08,6.5183583565901964e-08,6.6906891583058061e-08,6.5772998048399789e-08,6.2806784107096859e-08,6.1268457811315586e-08
0.3,3.8990659290077731e-08,4.6931417021323951e-08,5.9815676903516294e-08,6.2915502465222602e-08,6.2644363479236996e-08,6.0241459467794089e-08,5.835968030829466e-08
0.3025,3.0961299395911611e-08,3.9288706412734771e-08,5.2936886109987271e-08,5.6829577939217575e-08,5.7160808101691185e-08,5.5228795230723194e-08,5.3028428734309949e-08
0.305,2.3114751415442813e-08,3.1733242366916119e-08,4.5490394415893606e-08,4.9557907864028663e-08,5.0158888908907027e-08,4.8502023411061334e-08,4.5962692720176284e-08
0.3075,1.5594361935627928e-08,2.4467597731439749e-08,3.7847912545451136e-08,4.1479661814855217e-08,4.1983587935701737e-08,4.0315210182673986e-08,3.7337580689659048e-08
0.31,8.8896696530649344e-09,1.7978106470776367e-08,3.0589213847030911e-08,3.3215031174207906e-08,3.3227023326145597e-08,3.1183006125778004e-08,2.7600634382062221e-08
0.3125,3.3761101809499282e-09,1.2683226821403993e-08,2.4319720705490438e-08,2.5489602264608633e-08,2.4629737367581143e-08,2.179991827369553e-08,1.7393057409488474e-08
0.315,-8.7334069700551366e-10,8.6890514932379746e-09,1.9300842151160416e-08,1.8673178183839397e-08,1.6583504808603501e-08,1.251945888157588e-08,7.0282555259367532e-09
0.3175,-3.6691533372673103e-09,6.1778032806913572e-09,1.5825557874737261e-08,1.3226119724162236e-08,9.6404794351469634e-09,3.9297500922899629e-09,-2.8850025204455074e-09
0.32,-4.9632395466621233e-09,5.1706592455232325e-09,1.3957925715529976e-08,9.3825346748078134e-09,4.1699610650293153e-09,-3.4809353532190312e-09,-1.1782116562790109e-08
0.3225,-4.732900683485248e-09,5.6261873147523331e-09,1.3514270643227173e-08,6.9049260105027495e-09,-4.162983227432178e-11,-9.8769603222177192e-09,-1.9745670962363273e-08
0.325,-2.8689307222113092e-09,7.5294815494373828e-09,1.430588634896551e-08,5.6203556838104154e-09,-3.0896064228731918e-09,-1.5214933571848833e-08,-2.6595255131583395e-08
0.3275,7.3099533869836346e-10,1.0866152609935159e-08,1.61428997115795e-08,5.3328311282047541e-09,-5.1085092734918991e-09,-1.9479358113596039e-08,-3.2161216860477605e-08
0.33,6.1306089987092309e-09,1.5598039116710997e-08,1.8797099341737045e-08,5.7831124086910385e-09,-6.3137057502476554e-09,-2.2744941829339995e-08,-3.6367098505728547e-08
0.3325,1.3343143209726498e-08,2.1634028136280808e-08,2.194290532477635e-08,6.5794798823032579e-09,-7.0711431067932557e-09,-2.5260251365770528e-08,-3.9335116758832186e-08
0.335,2.2783476473353294e-08,2.9176872698753589e-08,2.5336895042253815e-08,7.2669352810213664e-09,-7.8905701601919227e-09,-2.7493349974403332e-08,-4.1417104722934474e-08
0.3375,3.4305157702726037e-08,3.7987259014526265e-08,2.8553642097543683e-08,7.3833644560406215e-09,-9.1883819583998118e-09,-2.9743623631140568e-08,-4.2863097330990472e-08
0.34,4.7281231577532192e-08,4.7621313818933553e-08,3.1420682425166294e-08,6.8905340454010593e-09,-1.0933853892588282e-08,-3.1896597666769227e-08,-4.3649368278782717e-08
0.3425,6.1501821666898728e-08,5.7975534361571445e-08,3.3972506907179159e-08,5.8577014440059443e-09,-1.3035994271339421e-08,-3.3852076104838256e-08,-4.3791413419821968e-08
0.345,7.6393894914071398e-08,6.8679275689127061e-08,3.62245645661403e-08,4.454998589184556e-09,-1.5276370953556515e-08,-3.5414678249683184e-08,-4.3275136147543192e-08
0.3475,9.0983600219783484e-08,7.9180755241141675e-08,3.8458968539602806e-08,3.2887608215702006e-09,-1.7006950946979591e-08,-3.6042183204587985e-08,-4.1799761372042702e-08
0.35,1.0572354255420353e-07,8.9762896777850235e-08,4.0779917553068232e-08,2.4597224172795956e-09,-1.8089390085874128e-08,-3.5552382660992208e-08,-3.9158195945560387e-08
0.3525,1.2021443712315543e-07,1.0018200526840244e-07,4.3356357095261447e-08,2.3948274247804722e-09,-1.8023411748445125e-08,-3.3469445983943111e-08,-3.494340543879496e-08
0.355,1.341078810891631e-07,1.1032688424432542e-07,4.6551904561013944e-08,3.7182930423399524e-09,-1.6112058809249426e-08,-2.9127099896874896e-08,-2.8523001362425487e-08
0.3575,1.470820067130589e-07,1.2013318597263223e-07,5.0803709372085069e-08,7.0954653250784695e-09,-1.1625780470290391e-08,-2.1834022358557043e-08,-1.9212948795171699e-08
0.36,1.5882335119110204e-07,1.2948452548553622e-07,5.6402872114210605e-08,1.2984437465776077e-08,-4.0666035427204577e-09,-1.1142436681905007e-08,-6.5613750635884496e-09
