Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
1.635,1.8459666102609492e-05
1.6375,1.8459666102609509e-05
1.64,1.845966610260952e-05
1.6425,1.8459666102609543e-05
1.645,1.845966610260955e-05
1.6475,1.845966610260957e-05
1.65,1.8459666102609591e-05
1.6525,1.8459666102609604e-05
1.655,1.8459666102609614e-05
1.6575,1.8459666102609635e-05
1.66,1.8459666102609652e-05
1.6625,1.8459666102609665e-05
1.665,1.8459666102609682e-05
1.6675,1.8459666102609689e-05
1.67,1.8459666102609699e-05
1.6725,1.8459666102609713e-05
1.675,1.8459666102609716e-05
1.6775,1.8459666102609726e-05
1.68,1.845966610260973e-05
1.6825,1.8459666102609736e-05
1.685,1.845966610260975e-05
1.6875,1.845966610260975e-05
1.69,1.8459666102609763e-05
1.6925,1.8459666102609767e-05
1.695,1.845966610260977e-05
1.6975,1.845966610260977e-05
1.7,1.845966610260977e-05
1.7025,1.845966610260978e-05
1.705,1.8459666102609777e-05
1.7075,1.8459666102609777e-05
1.71,1.8459666102609777e-05
1.7125,1.8459666102609784e-05
1.715,1.8459666102609784e-05
1.7175,1.8459666102609784e-05
1.72,1.8459666102609791e-05
1.7225,1.8459666102609791e-05
1.725,1.8459666102609791e-05
1.7275,1.8459666102609791e-05
1.73,1.8459666102609791e-05
1.7325,1.8459666102609791e-05
1.735,1.8459666102609791e-05
1.7375,1.8459666102609791e-05
1.74,1.8459666102609784e-05
1.7425,1.8459666102609777e-05
1.745,1.845966610260978e-05
1.7475,1.845966610260977e-05
1.75,1.8459666102609767e-05
1.7525,1.8459666102609763e-05
1.755,1.845966610260976e-05
1.7575,1.845966610260975e-05
1.76,1.845966610260975e-05
1.7625,1.8459666102609736e-05
1.765,1.845966610260973e-05
1.7675,1.8459666102609726e-05
1.77,1.8459666102609723e-05
1.7725,1.8459666102609713e-05
1.775,1.8459666102609702e-05
1.7775,1.8459666102609689e-05
1.78,1.8459666102609682e-05
1.7825,1.8459666102609679e-05
1.785,1.8459666102609665e-05
1.7875,1.8459666102609652e-05
1.79,1.8459666102609645e-05
1.7925,1.8459666102609635e-05
1.795,1.8459666102609631e-05
1.7975,1.8459666102609614e-05
1.8,1.8459666102609608e-05
1.8025,1.8459666102609594e-05
1.805,1.8459666102609591e-05
1.8075,1.8459666102609577e-05
1.81,1.8459666102609564e-05
1.8125,1.8459666102609553e-05
1.815,1.845966610260955e-05
1.8175,1.8459666102609543e-05
1.82,1.845966610260953e-05
1.8225,1.8459666102609523e-05
1.825,1.8459666102609513e-05
1.8275,1.8459666102609509e-05
1.83,1.8459666102609506e-05
1.8325,1.8459666102609496e-05
1.835,1.8459666102609496e-05
1.8375,1.8459666102609489e-05
1.84,1.8459666102609479e-05
1.8425,1.8459666102609479e-05
1.845,1.8459666102609479e-05
1.8475,1.8459666102609479e-05
1.85,1.8459666102609479e-05
1.8525,1.8459666102609479e-05
1.855,1.8459666102609482e-05
