Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.31,3.6805627664671557e-05,4.4931292550364448e-05,4.5369999612691306e-05,4.5375138796835467e-05,4.5375519760915011e-05,4.5375576378816689e-05,4.5375585920395886e-05
0.3125,3.6738985221197031e-05,4.4924666433646175e-05,4.5369035270956151e-05,4.537424056274048e-05,4.5374634921260861e-05,4.5374691818810927e-05,4.53747019067242e-05
0.315,3.6672384023427726e-05,4.4917799492749284e-05,4.536762285210087e-05,4.5372899036760923e-05,4.537330779980813e-05,4.5373365203298389e-05,4.5373376040867553e-05
0.3175,3.6606794044132023e-05,4.4911633112115594e-05,4.5366692140513529e-05,4.5372044562424421e-05,4.5372468842763988e-05,4.5372527030681824e-05,4.5372538848343162e-05
0.32,3.6543465394063706e-05,4.4907355157420036e-05,4.5367418722740808e-05,4.5372852808437216e-05,4.5373293706119017e-05,4.5373352994765851e-05,4.5373366014871217e-05
0.3225,3.648047835546003e-05,4.490333135253087e-05,4.5368210921505396e-05,4.5373732676243902e-05,4.5374191346101591e-05,4.5374252072562533e-05,4.537426641127307e-05
0.325,3.6418266807580521e-05,4.4899872033987275e-05,4.5369379617262455e-05,4.5374994189880055e-05,4.5375471688481173e-05,4.5375534204635414e-05,4.5375549902628219e-05
0.3275,3.6356988534452431e-05,4.4897161959264028e-05,4.5371129906142277e-05,4.5376841732546634e-05,4.5377339043484466e-05,4.5377403703669672e-05,4.5377420751568206e-05
0.33,3.6296734005048615e-05,4.4895307336418965e-05,4.5373584977897774e-05,4.5379397434827684e-05,4.5379915443946295e-05,4.5379982596033653e-05,4.5380000985545029e-05
0.3325,3.6237389398214112e-05,4.4894189867989665e-05,4.53766434197066e-05,4.5382558788774651e-05,4.5383098228753753e-05,4.5383168207409761e-05,4.5383187989484875e-05
0.335,3.6176897728900102e-05,4.4891966288018663e-05,4.5378496360609907e-05,4.5384516100486333e-05,4.5385077517374579e-05,4.5385150642284203e-05,4.5385171985432426e-05
0.3375,3.6116150961565722e-05,4.4889226954561261e-05,4.5379725782764665e-05,4.5385848949998252e-05,4.5386432715219364e-05,4.5386509238489222e-05,4.5386532414723578e-05
0.34,3.60565795174953e-05,4.4887421981111585e-05,4.5381801054447436e-05,4.5388025802762013e-05,4.538863222453756e-05,4.5388712336289957e-05,4.5388737668031767e-05
0.3425,3.5997642576648007e-05,4.488603092711157e-05,4.5384226892695676e-05,4.5390551086024197e-05,4.5391180257287191e-05,4.53912640655246e-05,4.5391291873381156e-05
0.345,3.5939726764651358e-05,4.488536941366398e-05,4.5387329755375347e-05,4.5393751062236096e-05,4.5394402871462108e-05,4.5394490377252693e-05,4.5394520849528085e-05
0.3475,3.5884363786315793e-05,4.4886778728340672e-05,4.5392447320779378e-05,4.5398963659005168e-05,4.5399637823057943e-05,4.5399728913981159e-05,4.5399762039657135e-05
0.35,3.5828620888266998e-05,4.488765320019177e-05,4.5397023383779274e-05,4.5403633695000369e-05,4.5404329819545841e-05,4.5404424274623031e-05,4.5404459802571134e-05
0.3525,3.5772932572679977e-05,4.4888259666687791e-05,4.5401313322213865e-05,4.5408015087188012e-05,4.5408732733762239e-05,4.540883018162546e-05,4.5408867547307664e-05
0.355,3.5717443533290774e-05,4.4888760748031581e-05,4.5405485587522255e-05,4.5412275398185971e-05,4.5413014113430863e-05,4.5413114069055627e-05,4.5413152456021596e-05
0.3575,3.5662342392976383e-05,4.4889353063362288e-05,4.5409739486426729e-05,4.5416612927439983e-05,4.5417372174002888e-05,4.5417474081726711e-05,4.5417512515054812e-05
0.36,3.5607671743087302e-05,4.4890084790925819e-05,4.5414124439381321e-05,4.5421076590873263e-05,4.5421855630339656e-05,4.5421958896671651e-05,4.5421996366710089e-05
0.3625,3.5553375574260375e-05,4.4890884569312017e-05,4.5418574001172776e-05,4.5425600154674234e-05,4.5426398043017995e-05,4.5426502040895688e-05,4.5426537632811631e-05
0.365,3.5499394030266308e-05,4.4891681221153381e-05,4.5423024294885089e-05,4.5430120522352851e-05,4.5430936209788876e-05,4.5431040269495881e-05,4.5431073271647185e-05
0.3675,3.544568437115096e-05,4.4892425040066297e-05,4.5427441582346756e-05,4.5434605181742866e-05,4.543543762028011e-05,4.5435541033401146e-05,4.543557099942499e-05
