Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
1.4825,1.3437985620642358e-05
1.485,1.4829242096756819e-05
1.4875,1.626734351924892e-05
1.49,1.7735421468551871e-05
1.4925,1.9215858084039453e-05
1.495,2.0691764654796091e-05
1.4975,2.2146629255396827e-05
1.5,2.3564472622670797e-05
1.5025,2.4929815271731281e-05
1.505,2.6227693724569514e-05
1.5075,2.7443473944417767e-05
1.51,2.8563765938627367e-05
1.5125,2.9574869400120365e-05
1.515,3.0464291967045374e-05
1.5175,3.1220642134096346e-05
1.52,3.1833885552684457e-05
1.5225,3.2295463315004175e-05
1.525,3.259831526959037e-05
1.5275,3.2736825744222585e-05
1.53,3.2706958837436893e-05
1.5325,3.2506630939866105e-05
1.535,3.2136287618412965e-05
1.5375,3.1599251806027886e-05
1.54,3.0901308955732574e-05
1.5425,3.0050305786489129e-05
1.545,2.9056116669035917e-05
1.5475,2.7930292451141746e-05
1.55,2.6686871686794521e-05
1.5525,2.5340939330471517e-05
1.555,2.3909932199666801e-05
1.5575,2.2413087023982777e-05
1.56,2.0872967162268424e-05
1.5625,1.9309463504082386e-05
1.565,1.7744105896247847e-05
1.5675,1.6199262393415127e-05
1.57,1.4696380868849086e-05
1.5725,1.3255740748355695e-05
1.575,1.1896256937839951e-05
1.5775,1.0638058424361966e-05
1.58,9.4988070255486114e-06
1.5825,8.4948621608759665e-06
1.585,7.6412567773298645e-06
1.5875,6.9510044148486187e-06
1.59,6.4347909592546229e-06
1.5925,6.1004272114241371e-06
1.595,5.952272870544243e-06
1.5975,5.991446629402181e-06
1.6,6.2161878831630683e-06
1.6025,6.6216347599554945e-06
1.605,7.200585355045742e-06
1.6075,7.9430109815728017e-06
1.61,8.8359619919818057e-06
1.6125,9.8640699073283484e-06
1.615,1.1010121499277659e-05
1.6175,1.2255625411426635e-05
1.62,1.358025451262116e-05
1.6225,1.4962436908971838e-05
1.625,1.6380506290374929e-05
1.6275,1.781269841503699e-05
1.63,1.9237015292203646e-05
1.6325,2.0632672353154104e-05
1.635,2.1979428153369957e-05
1.6375,2.3258353717308986e-05
1.64,2.4452151943623484e-05
1.6425,2.5545575623655834e-05
1.645,2.6525810221023375e-05
1.6475,2.7381763570347329e-05
1.65,2.8104427862041709e-05
1.6525,2.8686788365188306e-05
1.655,2.912428203923529e-05
1.6575,2.9415282582105826e-05
1.66,2.9561342061889234e-05
1.6625,2.9566692289824978e-05
1.665,2.9438072878904126e-05
1.6675,2.9184200498913849e-05
1.67,2.8815966129468278e-05
1.6725,2.8346329237152023e-05
1.675,2.7790004532118722e-05
1.6775,2.7162821413186423e-05
1.68,2.6480904491578651e-05
1.6825,2.5760561672787681e-05
1.685,2.5018195893804921e-05
1.6875,2.4270289869051542e-05
1.69,2.3533538643687691e-05
1.6925,2.2824210017865542e-05
1.695,2.2157675494839207e-05
1.6975,2.1547551048967116e-05
1.7,2.100628832788461e-05
1.7025,2.0544030343619888e-05
1.705,2.0168548642935571e-05
1.7075,1.9885103020215633e-05
1.71,1.969632363697008e-05
1.7125,1.9602447813010577e-05
1.715,1.9601653488251364e-05
1.7175,1.9689946287872995e-05
1.72,1.9862501449160096e-05
1.7225,2.011342073088673e-05
1.725,2.0434778953199064e-05
1.7275,2.0816887610912628e-05
1.73,2.1243277613301067e-05
1.7325,2.1706236493746839e-05
1.735,2.2191494168467368e-05
1.7375,2.2684337399393894e-05
1.74,2.3170557948380853e-05
1.7425,2.3636912277947563e-05
1.745,2.4070570963051535e-05
1.7475,2.4458126477373308e-05
1.75,2.4786966306424806e-05
1.7525,2.5047011273340828e-05
1.755,2.523101485866596e-05
1.7575,2.5333340404752722e-05
1.76,2.5347721912893342e-05
1.7625,2.5269176833358989e-05
1.765,2.5094129978335885e-05
1.7675,2.482055394356445e-05
1.77,2.4448271361375828e-05
1.7725,2.3978626521752887e-05
1.775,2.341416668287123e-05
1.7775,2.2758617373639924e-05
1.78,2.2017479143220322e-05
1.7825,2.1198639821864607e-05
1.785,2.0310637175917813e-05
