Physical Time (s),phi_vol Monitor (W): cv1,phi_vol Monitor (W): cv2,phi_vol Monitor (W): cv3,phi_vol Monitor (W): cv4,phi_vol Monitor (W): cv5,phi_vol Monitor (W): cv6,phi_vol Monitor (W): cv7
0.315,7.2578837560134445e-07,1.5933782706381943e-07,4.3121276309666024e-09,5.4554455197220578e-11,4.5387339157313651e-12,2.0843439530559415e-12,4.0753624780820139e-12
0.3175,7.2450107121463177e-07,1.6060869054841592e-07,4.3983444070340012e-09,5.8458825384217483e-11,5.1799835514034043e-12,1.8144916666136585e-12,4.7864865466287589e-12
0.32,7.2330725578602337e-07,1.6187705813943776e-07,4.4929456981523442e-09,6.3873713736350726e-11,6.1160441212185574e-12,1.8322675301849519e-12,5.7711172264888291e-12
0.3225,7.221738488903096e-07,1.6314167910297212e-07,4.5938974338343564e-09,7.0475246206320165e-11,7.2394320491849726e-12,2.0521660741462057e-12,6.7825977067985878e-12
0.325,7.2107505857958178e-07,1.6440106895777395e-07,4.6989502785709468e-09,7.7856008594202556e-11,8.4653886006645085e-12,2.4023574645474857e-12,7.5807083387712055e-12
0.3275,7.1999355216469973e-07,1.6565338572408707e-07,4.8058928498494646e-09,8.5574930613145933e-11,9.7327911382346148e-12,2.8567818223047775e-12,8.0183698773386353e-12
0.33,7.1892182123310354e-07,1.668980855968825e-07,4.9126780875462299e-09,9.3196787968437068e-11,1.0991709914017371e-11,3.4209122183386526e-12,8.0794373672153017e-12
0.3325,7.1785948332193385e-07,1.6813443594934289e-07,5.0176136681367993e-09,1.0032338618004679e-10,1.2181311791081395e-11,4.0886434039111242e-12,7.8341532863548872e-12
0.335,7.1680954258952154e-07,1.6936112211931944e-07,5.1193985133492441e-09,1.0661918459530139e-10,1.3227573188471449e-11,4.8125336708777297e-12,7.3670404750210846e-12
0.3375,7.1577575146872189e-07,1.7057720748376523e-07,5.2171073943956578e-09,1.1184327473339396e-10,1.4054573470907387e-11,5.5036475836785513e-12,6.7405395583669339e-12
0.34,7.1475920732214247e-07,1.7178225108486321e-07,5.3102182582039444e-09,1.1586460322998736e-10,1.4604297892639843e-11,6.0567457188195003e-12,5.9839598857550781e-12
0.3425,7.1375701122384441e-07,1.7297503674905331e-07,5.3984591000992242e-09,1.1865220144030599e-10,1.4848115943402797e-11,6.3875275097064945e-12,5.1219904948290254e-12
0.345,7.1276079867152483e-07,1.7415448334462342e-07,5.4817868234808118e-09,1.2026176919810855e-10,1.4791359763678265e-11,6.4568893057363493e-12,4.2134997854958783e-12
0.3475,7.117574977245831e-07,1.7531975821805109e-07,5.56034813392136e-09,1.2081766411166093e-10,1.4467513151211109e-11,6.2714257137351568e-12,3.3608304836842084e-12
0.35,7.1073146492269377e-07,1.7646990305577686e-07,5.6343871125943918e-09,1.2048121204104112e-10,1.3931012377897036e-11,5.8667535848011151e-12,2.6805169652658212e-12
0.3525,7.096676595932631e-07,1.7760493089106108e-07,5.7043464654986215e-09,1.1944590114988439e-10,1.3247577055739315e-11,5.2876869803112261e-12,2.254374467625619e-12
0.355,7.0855312835035177e-07,1.7872458014023072e-07,5.7709847611648547e-09,1.1790654756947406e-10,1.2482677124091598e-11,4.5833388948550904e-12,2.0972324908437857e-12
0.3575,7.0738113453160906e-07,1.7982989302546713e-07,5.8353685717910738e-09,1.1605125418456484e-10,1.1699131671355566e-11,3.8129923107524897e-12,2.1625915015863753e-12
0.36,7.0615420074799849e-07,1.8092156854917032e-07,5.8989562839288681e-09,1.1405468217132638e-10,1.0950027621609276e-11,3.053941717688948e-12,2.3784446990801489e-12
0.3625,7.0488313040341153e-07,1.8200151280096091e-07,5.9634953971476986e-09,1.1207796387512796e-10,1.0268194694087165e-11,2.4004171684941029e-12,2.6825628451025062e-12
0.365,7.035883064079593e-07,1.8307179015737048e-07,6.0309444840241406e-09,1.1028516518903205e-10,9.6719260540157188e-12,1.9460546767946548e-12,3.046877143895872e-12
0.3675,7.0229866785820888e-07,1.841347565004472e-07,6.1034447906162361e-09,1.0886258080171e-10,9.1694948285541502e-12,1.7514227894753984e-12,3.4676073144047729e-12
0.37,7.0104659043981779e-07,1.851930111199681e-07,6.1831290702556196e-09,1.0800037709209024e-10,8.7510084841410859e-12,1.8151435869084539e-12,3.9187006100930242e-12
0.3725,6.998645017357605e-07,1.8624856002713492e-07,6.2719964735300826e-09,1.078999353566324e-10,8.3959793556001391e-12,2.0692577790707597e-12,4.3325752059630971e-12
0.375,6.9878077286023936e-07,1.8730376935930852e-07,6.3717320393153855e-09,1.0878006289510575e-10,8.088019747192572e-12,2.401587098567431e-12,4.6152755703851278e-12
0.3775,6.9781728587703934e-07,1.8836033444948015e-07,6.4834976499513219e-09,1.1086755384065063e-10,7.830258142949593e-12,2.6947249865874127e-12,4.6842546424443196e-12
