Physical Time (s),xth_top Monitor (W): top_cv1,xth_top Monitor (W): top_cv2,xth_top Monitor (W): top_cv3,xth_top Monitor (W): top_cv4,xth_top Monitor (W): top_cv5,xth_top Monitor (W): top_cv6,xth_top Monitor (W): top_cv7
0.3225,2.3234477079429529e-19,-2.4729611437575734e-19,-3.5526796413904772e-19,7.7942589919156458e-19,1.4568405754806795e-19,3.5302064063726712e-20,7.2328437915161952e-21
0.325,6.9081002569063737e-19,6.895549394612598e-20,1.2313878609202141e-19,-2.979056886018234e-19,-1.445537634947898e-19,-3.4934376808853278e-20,3.1561278634919954e-20
0.3275,-3.0567602737558067e-19,-2.5152141058557917e-20,2.9393192426833527e-20,1.3781998375271402e-19,1.1330370430576688e-19,-5.6878958146083805e-21,2.118733289489831e-20
0.33,4.4847163620975578e-19,2.9543632124757853e-20,4.7322663545363103e-19,4.2094445998870232e-19,-6.6086940507296685e-20,-8.040296622570191e-20,4.7592410041976609e-20
0.3325,5.1366838442324178e-19,8.7380188023477071e-20,1.1685795303248471e-18,-2.1080329545073689e-19,2.1402773836002946e-20,-8.578964700395431e-20,-4.7826162548399025e-20
0.335,6.2818291149568406e-19,4.0914325418021291e-19,2.8800260816307226e-19,-4.9860369392367116e-19,1.8897047008511587e-19,-7.951787727567418e-20,-2.2543038272540259e-21
0.3375,7.7409369258975626e-19,9.8729704231886895e-20,-3.5076449542627691e-19,4.7474884407077274e-19,8.5411708762581963e-21,-1.2277118669106466e-20,4.1939027909107182e-21
0.34,1.0438342135703079e-19,-8.616996214315185e-20,5.3551998531540107e-19,6.2546390717283689e-20,-9.103809225421405e-20,-1.4237622656412414e-19,8.6888630496626288e-21
0.3425,-4.4036076621819489e-19,1.4843860062915601e-19,4.1551731501939009e-19,-2.2405452148321543e-19,-1.5750309552774919e-19,1.2429705702940478e-20,6.7154081475083238e-21
0.345,3.2316074643035586e-19,3.1573722744992583e-19,-2.2493158853969114e-19,2.6486639471465734e-19,1.8477418861049964e-19,-5.2777763156412588e-20,-2.3381485211667506e-20
0.3475,5.1729851057880847e-20,1.7315336958188e-19,-1.6596766852933253e-19,-6.9595167372973714e-19,4.2367620263935914e-19,-1.0462436833785e-19,-2.0427172288172212e-20
0.35,-5.1587418005482965e-19,2.6144327789924929e-19,-1.6373094814886122e-19,-1.3717913081243636e-19,-2.3273494038505332e-19,-3.6439293069775029e-19,-5.4954605777536409e-20
0.3525,2.553503279641396e-19,1.3066734544315426e-19,1.3538750010020015e-19,1.4998361564735611e-19,1.1921361082863172e-19,1.957432120562735e-20,3.8043223803146765e-21
0.355,3.9116036290040856e-19,3.5186193445349485e-19,-2.6801349780894706e-19,4.7835247768704356e-19,9.9272883518166192e-20,-4.6568300082940575e-20,-6.4908191319644543e-21
0.3575,9.1062206874271097e-19,3.7440861268005113e-20,-1.022215653409963e-18,1.3946582566687216e-19,3.6831535575332645e-20,-2.5141576531717969e-20,7.4565127845010914e-21
0.36,1.5694469611380329e-19,1.3208289518973162e-19,-1.7211013974944528e-19,-4.1077330674726742e-19,2.401695289611905e-19,-9.9118951658342087e-20,7.5827514193797717e-21
