Physical Time (s),ev_left Monitor (W)
1.54,-7.6852345417010989e-10
1.5425,-7.6578631741707502e-10
1.545,-7.6331237715044466e-10
1.5475,-7.6110619547526115e-10
1.55,-7.5916864308732603e-10
1.5525,-7.5749607781875898e-10
1.555,-7.5608082722503633e-10
1.5575,-7.5491192256434417e-10
1.56,-7.5397484509706727e-10
1.5625,-7.5325149482194958e-10
1.565,-7.527205139494502e-10
1.5675,-7.5235720657420384e-10
1.57,-7.5213492946077399e-10
1.5725,-7.5202475318129581e-10
1.575,-7.5199691103230649e-10
1.5775,-7.5202014565169009e-10
1.58,-7.5206327998447642e-10
1.5825,-7.5209638920678876e-10
1.585,-7.5209082504086437e-10
1.5875,-7.5201956446525553e-10
1.59,-7.5185718784657892e-10
1.5925,-7.5158013357111682e-10
1.595,-7.5116697068829859e-10
1.5975,-7.505975598037375e-10
1.6,-7.4985350107563127e-10
1.6025,-7.4891870431292316e-10
1.605,-7.4777926417718071e-10
1.6075,-7.464231923669878e-10
1.61,-7.4484052005524277e-10
1.6125,-7.4302396449778315e-10
1.615,-7.4096948488326968e-10
1.6175,-7.3867600855761827e-10
1.62,-7.3614605714722975e-10
1.6225,-7.3338615049124944e-10
1.625,-7.3040722464093404e-10
1.6275,-7.2722463341807412e-10
1.63,-7.23858265751654e-10
1.6325,-7.2033237084398949e-10
1.635,-7.1667519803874791e-10
1.6375,-7.129183501444021e-10
1.64,-7.0909610260382163e-10
1.6425,-7.0524478324664227e-10
1.645,-7.0140160867345481e-10
1.6475,-6.9760419870972795e-10
1.65,-6.9388994792196426e-10
1.6525,-6.90294768749879e-10
1.655,-6.8685259720011953e-10
1.6575,-6.8359438167981149e-10
1.66,-6.8054790661404585e-10
1.6625,-6.777368731825287e-10
1.665,-6.7518102781023069e-10
1.6675,-6.7289460633499721e-10
1.67,-6.7088660122376398e-10
1.6725,-6.6916050740545722e-10
1.675,-6.677143454340748e-10
1.6775,-6.6654110952555798e-10
1.68,-6.6562890774694707e-10
1.6825,-6.6496107248564802e-10
1.685,-6.6451674368215298e-10
1.6875,-6.6427160017053374e-10
1.69,-6.6419787311860002e-10
1.6925,-6.6426478250826332e-10
1.695,-6.6443937779253263e-10
1.6975,-6.6468690520567388e-10
1.7,-6.6497167058913977e-10
1.7025,-6.6525774257689767e-10
1.705,-6.6550988486771884e-10
1.7075,-6.6569422114773562e-10
1.71,-6.657790690573141e-10
1.7125,-6.6573540035891791e-10
1.715,-6.6553728332713295e-10
1.7175,-6.6516205913704577e-10
1.72,-6.6459101828552929e-10
1.7225,-6.638095793989898e-10
1.725,-6.6280740541403371e-10
1.7275,-6.6157859624092307e-10
