Physical Time (s),ea_top Monitor (W): top_cv1,ea_top Monitor (W): top_cv2,ea_top Monitor (W): top_cv3,ea_top Monitor (W): top_cv4,ea_top Monitor (W): top_cv5,ea_top Monitor (W): top_cv6,ea_top Monitor (W): top_cv7
0.315,3.320141043194694e-12,-7.3463023117225452e-13,-9.7497156006664015e-13,-1.1250418936708805e-13,-1.2839029926056527e-14,-1.6054183311329199e-15,-5.5363974664697799e-15
0.3175,3.1979734346124013e-12,-7.633722571690224e-13,-9.331659055973745e-13,-8.8873972614714063e-14,-7.1147546812794218e-15,-5.7308054677736607e-16,-1.7633954750833927e-15
0.32,3.0227722413196132e-12,-8.2385701342132439e-13,-8.9608907815099545e-13,-6.7357485003467234e-14,-3.2938978869562273e-15,-1.2720672152586328e-16,-1.7620431105884916e-16
0.3225,2.8060372793638762e-12,-9.0578783355195598e-13,-8.5956968569786997e-13,-4.8350158030304837e-14,-1.0844290214950458e-15,-7.1935499539490473e-18,1.0967649394552704e-17
0.325,2.5620352621334955e-12,-9.9761289291823787e-13,-8.2020745907673742e-13,-3.2202610188013304e-14,-1.5045295300327627e-16,-3.1190402595322084e-17,2.0142472512823966e-16
0.3275,2.306319879111316e-12,-1.0888781120437017e-12,-7.7679154672357713e-13,-1.9486402558685075e-14,-3.3194262092828314e-16,-1.3299427609924889e-16,1.3760734224600871e-15
0.33,2.0543749771176622e-12,-1.1719904899706772e-12,-7.3078638951128541e-13,-1.0871552029352609e-14,-1.6175275952079344e-15,-3.1680449880704654e-16,3.4020912881014163e-15
0.3325,1.8204036380852811e-12,-1.2430325162272426e-12,-6.8579967931367528e-13,-6.7129141819955685e-15,-3.9735217938154879e-15,-6.0693304456126241e-16,5.0839234892381088e-15
0.335,1.616619544521792e-12,-1.3014583593632849e-12,-6.463678422887013e-13,-6.6198422100492481e-15,-7.1657992341386214e-15,-1.0138103826779021e-15,4.9170958586355784e-15
0.3375,1.4532915371874774e-12,-1.3488580470376369e-12,-6.1669217912700543e-13,-9.3052433166043103e-15,-1.0673316373151043e-14,-1.5065154416698029e-15,2.1023024985395489e-15
0.34,1.3389338525229431e-12,-1.387400399836385e-12,-5.9986299013259715e-13,-1.2853827090121979e-14,-1.3747001758428083e-14,-1.9958455942261127e-15,-2.7862047973773342e-15
0.3425,1.2804728633784548e-12,-1.4186081611851886e-12,-5.9770814850271355e-13,-1.5343019597396904e-14,-1.5608141806900153e-14,-2.3469905828947651e-15,-7.9310898270594532e-15
0.345,1.2828312661763362e-12,-1.4426316276954934e-12,-6.1102719819850925e-13,-1.5533577459867018e-14,-1.5714763636027133e-14,-2.4316750518615226e-15,-1.1182605386384317e-14
0.3475,1.3485168484772449e-12,-1.4581782669113208e-12,-6.3991275056400502e-13,-1.3355917132435793e-14,-1.3978765886074297e-14,-2.1959105547656213e-15,-1.1219803982833931e-14
0.35,1.4772734206278839e-12,-1.4629823225080639e-12,-6.8390337548254455e-13,-9.9692748268335142e-15,-1.0826301149390625e-14,-1.6994878539427019e-15,-8.2492944727302495e-15
0.3525,1.6656037349859819e-12,-1.454666347636521e-12,-7.4201054114295168e-13,-7.395888753975462e-15,-7.055628530069498e-15,-1.0933025470637301e-15,-3.8091220411490062e-15
0.355,1.9073021054376105e-12,-1.4315512653528629e-12,-8.1269482792258481e-13,-7.9076446949782716e-15,-3.5646580247358959e-15,-5.5085938054822012e-16,1.6010504295718664e-16
