Physical Time (s),enth_flux_enthalpy_left Monitor (W)
1.5375,-3.6372909499668957e-07
1.54,-3.666281834987228e-07
1.5425,-3.6866969623159526e-07
1.545,-3.6991360470021821e-07
1.5475,-3.7041490933758547e-07
1.55,-3.7026736852228457e-07
1.5525,-3.6959537563916474e-07
1.555,-3.6847023512254721e-07
1.5575,-3.6697881159478182e-07
1.56,-3.6521824687230717e-07
1.5625,-3.6333390482095252e-07
1.565,-3.6144826010447848e-07
1.5675,-3.5958467888243911e-07
1.57,-3.5779662817504226e-07
1.5725,-3.5615333054393378e-07
1.575,-3.5474551800845679e-07
1.5775,-3.5363191464077945e-07
1.58,-3.5286254594023036e-07
1.5825,-3.5247375287508349e-07
1.585,-3.5249438107683548e-07
1.5875,-3.5292082456823685e-07
1.59,-3.5373587118831929e-07
1.5925,-3.5489393280562425e-07
1.595,-3.5632722652561551e-07
1.5975,-3.5794364252927999e-07
1.6,-3.5962904786346055e-07
1.6025,-3.6125537970206798e-07
1.605,-3.6269790548646427e-07
1.6075,-3.638494505015887e-07
1.61,-3.6453968411388122e-07
1.6125,-3.6462519901726142e-07
1.615,-3.6400502170088644e-07
1.6175,-3.6259750469700242e-07
1.62,-3.6037284934225558e-07
1.6225,-3.5735015578320805e-07
1.625,-3.5355003361391677e-07
1.6275,-3.4902399377692082e-07
1.63,-3.438659224398667e-07
1.6325,-3.3817335501147191e-07
1.635,-3.3206731799824918e-07
1.6375,-3.2567726549035989e-07
1.64,-3.1913676198297781e-07
1.6425,-3.1258367974452414e-07
1.645,-3.0615581362598788e-07
1.6475,-2.9998433098002739e-07
1.65,-2.9419310563451e-07
1.6525,-2.8889557319058192e-07
1.655,-2.8417897761029512e-07
1.6575,-2.8010457260213501e-07
1.66,-2.7672609170241777e-07
1.6625,-2.7403762944429637e-07
1.665,-2.7204507742275217e-07
1.6675,-2.7069917548906929e-07
1.67,-2.6993001163569174e-07
1.6725,-2.6967176656291698e-07
1.675,-2.6985486024597837e-07
1.6775,-2.7039831251803244e-07
1.68,-2.7121220686098407e-07
1.6825,-2.7218523045019961e-07
1.685,-2.7320551619707395e-07
1.6875,-2.7418491595082945e-07
1.69,-2.7502996531923293e-07
1.6925,-2.7565917274515848e-07
1.695,-2.7600924644268744e-07
1.6975,-2.760044893149699e-07
1.7,-2.7559246409923498e-07
1.7025,-2.7473176758352013e-07
1.705,-2.7340333746320482e-07
1.7075,-2.7160179813722265e-07
1.71,-2.6934814558107218e-07
1.7125,-2.666751275754995e-07
1.715,-2.6363114461156208e-07
1.7175,-2.6026931876106175e-07
1.72,-2.566653690916502e-07
1.7225,-2.5289621404002133e-07
1.725,-2.490401996785404e-07
1.7275,-2.4518705414109938e-07
1.73,-2.4143379856649381e-07
1.7325,-2.3787608137183516e-07
1.735,-2.3459702415142588e-07
1.7375,-2.3169199803202613e-07
1.74,-2.2922633889786157e-07
1.7425,-2.2728614179773324e-07
1.745,-2.2592597170215612e-07
1.7475,-2.2520674869142548e-07
1.75,-2.2518070540917528e-07
1.7525,-2.2587680192501077e-07
1.755,-2.2730990692191237e-07
1.7575,-2.2948196484089518e-07
1.76,-2.3238787439928407e-07
1.7625,-2.3600260295175696e-07
1.765,-2.4028804507944554e-07
1.7675,-2.4519753483373061e-07
1.77,-2.5067445458634402e-07
1.7725,-2.5664953836792573e-07
1.775,-2.6305887609104363e-07
1.7775,-2.6981813979691495e-07
1.78,-2.7686083786345096e-07
1.7825,-2.8409647506435627e-07
1.785,-2.9145643035826302e-07
1.7875,-2.9883879406551319e-07
1.79,-3.0616377944869361e-07
1.7925,-3.1333463105224058e-07
1.795,-3.2025570219644574e-07
1.7975,-3.2684587201169239e-07
1.8,-3.3302684564468265e-07
1.8025,-3.387397892271906e-07
1.805,-3.4396176462242274e-07
1.8075,-3.4866777962675054e-07
1.81,-3.5285390497233285e-07
1.8125,-3.5651772997818058e-07
1.815,-3.5976300592895134e-07
1.8175,-3.6236147530513687e-07
1.82,-3.644517962551122e-07
1.8225,-3.6606366922416833e-07
1.825,-3.6725033518264636e-07
1.8275,-3.6806539677553878e-07
1.83,-3.6856768913347286e-07
1.8325,-3.6881689043688057e-07
1.835,-3.6887503673965881e-07
1.8375,-3.6880392134396314e-07
1.84,-3.6865865672368321e-07
1.8425,-3.684715829826391e-07
1.845,-3.6826273663209041e-07
1.8475,-3.6804633018626815e-07
1.85,-3.678243802405883e-07
1.8525,-3.6759817378925029e-07
1.855,-3.6737694570541781e-07
1.8575,-3.6712802158962159e-07
1.86,-3.6681910309268835e-07
1.8625,-3.6641648342091293e-07
1.865,-3.6587282961026397e-07
1.8675,-3.6513487471168946e-07
1.87,-3.6415621906539131e-07
1.8725,-3.6289327557348917e-07
1.875,-3.6132429888823939e-07
1.8775,-3.5941508678148651e-07
1.88,-3.5716823310645966e-07
1.8825,-3.5457951811653399e-07
1.885,-3.5166380379928818e-07
1.8875,-3.4844298568351969e-07
1.89,-3.449374792061408e-07
1.8925,-3.412436630720607e-07
1.895,-3.3722229916597476e-07
1.8975,-3.3307892774565495e-07
1.9,-3.2860736545897931e-07
1.9025,-3.2410480415848246e-07
1.905,-3.19318260231012e-07
1.9075,-3.1460360243514344e-07
1.91,-3.0967414906393046e-07
1.9125,-3.0490477888593612e-07
