Physical Time (s),enth_flux_pressure_left Monitor (W)
1.5525,3.6885976594005149e-07
1.555,3.6774153216558111e-07
1.5575,3.6625465029739376e-07
1.56,3.6449959503363343e-07
1.5625,3.6261796915047719e-07
1.565,3.607335621009229e-07
1.5675,3.5887141213384065e-07
1.57,3.570852795044455e-07
1.5725,3.5544329764451765e-07
1.575,3.540353251392331e-07
1.5775,3.5292013841404324e-07
1.58,3.521483421901939e-07
1.5825,3.5175691904253086e-07
1.585,3.5177552285563139e-07
1.5875,3.5220094193225221e-07
1.59,3.5301632142225108e-07
1.5925,3.5417626627570808e-07
1.595,3.5561314759979496e-07
1.5975,3.5723496844398174e-07
1.6,3.5892724799456376e-07
1.6025,3.6056035070351681e-07
1.605,3.6200604886985313e-07
1.6075,3.6315692661937765e-07
1.61,3.6384925188355013e-07
1.6125,3.6393850389529078e-07
1.615,3.6332124504943704e-07
1.6175,3.6191581612262778e-07
1.62,3.5969231815279829e-07
1.6225,3.5667032967128542e-07
1.625,3.5287037672923501e-07
1.6275,3.4834393382395927e-07
1.63,3.4318493263498135e-07
1.6325,3.3749120382559794e-07
1.635,3.3138413044903672e-07
1.6375,3.2499294887224001e-07
1.64,3.1845149089380537e-07
1.6425,3.1189807683069648e-07
1.645,3.054708826286072e-07
1.6475,2.9930118223708726e-07
1.65,2.9351283162755314e-07
1.6525,2.8821946771511105e-07
1.655,2.8350860865107024e-07
1.6575,2.7944154024779493e-07
1.66,2.7607199159846131e-07
1.6625,2.7339499434833552e-07
1.665,2.7141514612455641e-07
1.6675,2.7008057351957616e-07
1.67,2.6932315987504047e-07
1.6725,2.6907870200924836e-07
1.675,2.6927664766916312e-07
1.6775,2.6983457581003709e-07
1.68,2.70661548757328e-07
1.6825,2.716467364409862e-07
1.685,2.7267847849173059e-07
1.6875,2.7366841930456787e-07
1.69,2.745225745742252e-07
1.6925,2.7515905859118443e-07
1.695,2.7551424239925972e-07
1.6975,2.7551202582921449e-07
1.7,2.7509983018822124e-07
