Physical Time (s),xth_left Monitor (W)
1.8325,3.6745593149291591e-16
1.835,7.6994035827417192e-17
1.8375,5.7110129180994808e-16
1.84,1.8795679660238682e-16
1.8425,2.9192025758663933e-16
1.845,1.0069165517851228e-16
1.8475,-1.2874818487443968e-16
1.85,-3.3495965306631086e-16
1.8525,4.0069440911073146e-17
1.855,1.649136523499509e-16
1.8575,1.478210870771908e-16
1.86,-2.8143815808919023e-16
1.8625,2.1082395367629872e-16
1.865,2.02720012606639e-16
1.8675,-6.7629986025530669e-17
1.87,1.8118540689832073e-16
1.8725,-1.4610937618047814e-16
1.875,-4.7248554922382267e-17
1.8775,4.6734858890317327e-16
1.88,3.4677458022068158e-17
1.8825,3.9260693306652494e-16
1.885,-8.3183945948237563e-17
1.8875,-1.9603844463886876e-16
1.89,-8.2618446482088427e-18
1.8925,2.22198653866822e-16
1.895,6.3979089532924384e-16
1.8975,2.5744807201171391e-16
1.9,6.714486649729424e-17
1.9025,2.4941442495073173e-16
1.905,1.5005296958389485e-16
1.9075,3.3257046010889319e-16
1.91,-5.4130869913590519e-16
1.9125,-2.957904095489351e-16
1.915,3.486282130766721e-16
1.9175,-2.9220463090992687e-17
1.92,9.8013391443294841e-17
1.9225,5.6444466208165925e-17
1.925,2.3845783483313435e-16
1.9275,-1.995562372731466e-16
1.93,-1.6393847871188393e-16
1.9325,4.8337560731445053e-17
1.935,-6.1395903334462755e-17
1.9375,3.063136349277418e-16
1.94,4.0230358769258584e-18
1.9425,-9.6447978389307934e-17
1.945,1.1224347423762992e-16
1.9475,3.702467328442056e-16
1.95,1.7922244102820228e-16
1.9525,1.2329397552474406e-16
1.955,-4.5447904416810813e-16
1.9575,4.307278348288295e-16
1.96,-2.1270096523833661e-16
1.9625,-2.6759828027027244e-16
1.965,5.4848663111615977e-16
1.9675,-4.9853596958231955e-17
1.97,2.466642380070876e-17
1.9725,7.0885672504761411e-18
1.975,-1.4492493056567019e-16
1.9775,2.0371549313450682e-16
1.98,1.6922483242440894e-16
1.9825,-9.7406580731910055e-17
1.985,-1.7014620150871789e-16
1.9875,1.5660677526518573e-16
1.99,5.6835896568976816e-16
1.9925,-1.1870527041250572e-16
1.995,-1.6035386052887141e-16
1.9975,9.955987097693482e-17
2.0,-1.1861320563896743e-16
2.0025,-2.6272870928594625e-16
2.005,1.5446748330378098e-16
2.0075,5.4047159082777051e-18
2.01,-3.6125713451145578e-16
2.0125,-2.1378848799118172e-16
2.015,-1.4338958347870437e-16
2.0175,3.3789852159399231e-16
2.02,-8.0494517171681221e-17
2.0225,3.3282929742563995e-16
2.025,7.5343223329709683e-17
2.0275,2.2590699697257579e-16
2.03,-1.4878819193483138e-16
2.0325,-2.1677068178129626e-16
2.035,-2.6163109512215326e-16
