Physical Time (s),etp_top Monitor (W): top_cv1,etp_top Monitor (W): top_cv2,etp_top Monitor (W): top_cv3,etp_top Monitor (W): top_cv4,etp_top Monitor (W): top_cv5,etp_top Monitor (W): top_cv6,etp_top Monitor (W): top_cv7
0.32,1.6940205037314767e-09,-2.7645325536959064e-10,-2.0525754037349775e-09,-2.4512007516128072e-09,-1.5087760179766801e-09,-1.0224732619385622e-09,-2.6176779931683514e-10
0.3225,1.942999401626069e-09,-3.498061020317843e-10,-2.4227412989473873e-09,-2.7925427602510645e-09,-1.5809679836180777e-09,-6.1883827984431023e-10,2.9575022988156193e-10
0.325,2.1122832929733698e-09,-4.3412502959859486e-10,-2.7894991178520156e-09,-3.1283834189304458e-09,-1.6891075027080034e-09,-3.7808647291366076e-10,7.1520648407430312e-10
0.3275,2.2364019179184431e-09,-5.242474448424858e-10,-3.1080402946420766e-09,-3.4143847105146396e-09,-1.8235470208613708e-09,-3.5179106972505332e-10,9.0554894541786641e-10
0.33,2.341650097010406e-09,-6.1331139958196572e-10,-3.3292795216683139e-09,-3.5931315795907999e-09,-1.9473843725581067e-09,-5.1392096031292941e-10,8.4959340891865248e-10
0.3325,2.4403618062907079e-09,-6.9374183763910809e-10,-3.4105792895886257e-09,-3.6080599274193383e-09,-2.0066579922572296e-09,-7.7172387194944651e-10,6.0631059339778901e-10
0.335,2.5346766147115482e-09,-7.5814018390581172e-10,-3.3261203474781982e-09,-3.4198531819650371e-09,-1.9484616711047401e-09,-9.9938372558733656e-10,2.8661132840864066e-10
0.3375,2.6242642947918818e-09,-7.9981615857922216e-10,-3.0736647093260525e-09,-3.0196079766869565e-09,-1.7399347474200089e-09,-1.0814663969855875e-09,1.151847462085314e-11
0.34,2.7113318174928117e-09,-8.1368010781070283e-10,-2.6737128965149466e-09,-2.4333696981888109e-09,-1.3807699144862291e-09,-9.5411994172859815e-10,-1.3239226020079099e-10
0.3425,2.8054259692792651e-09,-7.9811553258854786e-10,-2.1666249287858531e-09,-1.7155228399917837e-09,-9.0443463387727025e-10,-6.2665265112878371e-10,-1.2280835156236753e-10
0.345,2.9194250291799237e-09,-7.5510833347957567e-10,-1.604046854476399e-09,-9.3777100295161149e-10,-3.6830405016300215e-10,-1.7606537885658836e-10,-4.0747482606799353e-12
0.3475,3.066755380567342e-09,-6.9007712170945037e-10,-1.0366399667858159e-09,-1.7251953571431778e-10,1.6133358443733897e-10,2.8353098555198765e-10,1.379888716318519e-10
0.35,3.2662347476347462e-09,-6.1080799990216642e-10,-5.0880873812878241e-10,5.1893236251504033e-10,6.2692989599651252e-10,6.4465026476560864e-10,2.1648547017674371e-10
0.3525,3.5348232462050453e-09,-5.2522002159149452e-10,-5.1517123548111943e-11,1.0937770270451214e-09,9.9069700630816204e-10,8.4428960463952677e-10,1.807745127594565e-10
0.355,3.8904796272379296e-09,-4.415963341168384e-10,3.1519593330834378e-10,1.5305770656379535e-09,1.2401694466885347e-09,8.8149496480893649e-10,3.5173493802409939e-11
0.3575,4.3482689396401336e-09,-3.6659007409489768e-10,5.8160327584967801e-10,1.8253747073245136e-09,1.3842149158513527e-09,8.1032975441263681e-10,-1.6649139774741741e-10
0.36,4.9159443728031928e-09,-3.0354518421834545e-10,7.487982002760954e-10,1.9872554886103366e-09,1.4449821088629648e-09,7.1201915885693345e-10,-3.4564820432528708e-10
0.3625,5.5875267820348529e-09,-2.5278849033918862e-10,8.2607378445002439e-10,2.0337412977237665e-09,1.4479545205794237e-09,6.5967432736882534e-10,-4.3071623530047622e-10
