Physical Time (s),enthalpy_storage_vol Monitor (J): cv1,enthalpy_storage_vol Monitor (J): cv2,enthalpy_storage_vol Monitor (J): cv3,enthalpy_storage_vol Monitor (J): cv4,enthalpy_storage_vol Monitor (J): cv5,enthalpy_storage_vol Monitor (J): cv6,enthalpy_storage_vol Monitor (J): cv7
0.3175,7.1713123986775456e-07,3.577651386688161e-07,2.7343349472236214e-07,3.8347064778328111e-09,3.3403410427827196e-10,7.50390713282409e-10,-2.4908859995495374e-10
0.32,7.1618911435054228e-07,3.5873365633737535e-07,2.7721932672659284e-07,3.9239430645625992e-09,2.6496664264867109e-10,7.0543860208632431e-10,-5.8660770372082589e-11
0.3225,7.1519686360055621e-07,3.5982978255631024e-07,2.8089372590885204e-07,4.0184657519707632e-09,1.9549452259951931e-10,6.6653649347180156e-10,1.4993969455003028e-10
0.325,7.14163278601749e-07,3.610407445539549e-07,2.8445933264334668e-07,4.1244095463768299e-09,1.2996547651116494e-10,6.3711984309708465e-10,3.7000212004676124e-10
0.3275,7.1309744220414599e-07,3.623532511694708e-07,2.8791769459188047e-07,4.246491063943211e-09,7.0886940792047516e-11,6.1809148052361976e-10,5.9264241143279326e-10
0.33,7.1200838289710513e-07,3.637537910775699e-07,2.9126867670037883e-07,4.3876913719161257e-09,1.9228832685580829e-11,6.0853013525335792e-10,8.0786798838413324e-10
0.3325,7.1090257816878929e-07,3.652280640861664e-07,2.9451040974462487e-07,4.5487080771233618e-09,-2.6156976231306818e-11,6.0433525883609627e-10,1.003375574529476e-09
0.335,7.0979364543749939e-07,3.6676389225492094e-07,2.9764477628236073e-07,4.7330987332122108e-09,-6.357489025068741e-11,6.0768841454452155e-10,1.1782586618500623e-09
0.3375,7.086952961886035e-07,3.6834965124063189e-07,3.0067434712064094e-07,4.9444169085525182e-09,-9.116994688710066e-11,6.2115660032032746e-10,1.3338754885964767e-09
0.34,7.0761667692930001e-07,3.6997360462582963e-07,3.0359962945296111e-07,5.1843179897637507e-09,-1.0884421732704016e-10,6.4353534656438763e-10,1.4673715774950089e-09
0.3425,7.065643838757388e-07,3.7162536418845251e-07,3.0642133818068827e-07,5.4538233733773272e-09,-1.1704707037891676e-10,6.7216470645081726e-10,1.5747999682847813e-09
0.345,7.0554547688063947e-07,3.7329747690968717e-07,3.0914147028820641e-07,5.7550670908100755e-09,-1.1528067504955365e-10,7.056689057252584e-10,1.6551756768227321e-09
0.3475,7.0456498141537439e-07,3.749857375877336e-07,3.1176207876598571e-07,6.0897394514261974e-09,-1.0335627500196033e-10,7.4243342660941579e-10,1.7071534262146255e-09
0.35,7.0362759481135334e-07,3.7668999984474169e-07,3.1428658919882431e-07,6.4601743200088155e-09,-8.0801204199164301e-11,7.8157981010992112e-10,1.730563123771866e-09
0.3525,7.0273519662702646e-07,3.7841425346414338e-07,3.1671890161954349e-07,6.8686365834452747e-09,-4.7229123976540964e-11,8.2275343813992423e-10,1.7261699797197359e-09
0.355,7.0188776137696648e-07,3.8016598206958564e-07,3.1906339497488789e-07,7.3172123934265745e-09,-2.6525694263056896e-12,8.6601679314896011e-10,1.6956392066750191e-09
0.3575,7.0108212979272513e-07,3.8195517640309222e-07,3.2132498442793237e-07,7.8076640255217925e-09,5.2618157589919283e-11,9.1174501391612291e-10,1.6417317127144348e-09
0.36,7.0031211492700153e-07,3.8379333440505666e-07,3.2350873099887701e-07,8.3410587347970454e-09,1.1760401719388428e-10,9.6036031454603195e-10,1.5679955302884074e-09
