Physical Time (s),etp_bot Monitor (W): bot_cv1,etp_bot Monitor (W): bot_cv2,etp_bot Monitor (W): bot_cv3,etp_bot Monitor (W): bot_cv4,etp_bot Monitor (W): bot_cv5,etp_bot Monitor (W): bot_cv6,etp_bot Monitor (W): bot_cv7
0.3275,2.2518584700346114e-09,-5.2352035676655038e-10,-3.0932346984860158e-09,-3.3888421966471383e-09,-1.7951226352680263e-09,-3.0833075881125738e-10,9.4028528028418713e-10
0.33,2.3347379687554522e-09,-6.0753055656320919e-10,-3.3094583514400707e-09,-3.5684800144016323e-09,-1.919477954614084e-09,-4.7178091651683701e-10,8.7688937590087399e-10
0.3325,2.4146813290641544e-09,-6.8234799598362093e-10,-3.3885439296270866e-09,-3.5890436659158874e-09,-1.9840479124300167e-09,-7.3633447651118149e-10,6.2472281143688758e-10
0.335,2.4960828419015428e-09,-7.4176860445981684e-10,-3.3052894231865629e-09,-3.4109482906844313e-09,-1.9355573718131389e-09,-9.7495636146372901e-10,2.9711590168316101e-10
0.3375,2.5785057000846172e-09,-7.8027944040049749e-10,-3.0576678038754127e-09,-3.0240160291921882e-09,-1.739263239971801e-09,-1.0701421618076139e-09,1.6622144810834548e-11
0.34,2.6648626639608887e-09,-7.9470916873060249e-10,-2.6671583950449421e-09,-2.4508447024183833e-09,-1.3917282969832249e-09,-9.5505150766459475e-10,-1.2993802768982647e-10
0.3425,2.7624089155226785e-09,-7.8361060072474953e-10,-2.1736142181424084e-09,-1.7441502376070462e-09,-9.2311765331599956e-10,-6.3572382467578794e-10,-1.2125092552034591e-10
0.345,2.8842946444334992e-09,-7.4792951702535042e-10,-1.6238789834021086e-09,-9.722704953010489e-10,-3.8972012228590389e-10,-1.8767524405848421e-10,-3.2458534467696569e-12
0.3475,3.0461612298482579e-09,-6.9174214239767126e-10,-1.0667791654918526e-09,-2.0644247417035305e-10,1.4264569338962537e-10,2.7451127266184378e-10,1.372941035596431e-10
0.35,3.2641800971714884e-09,-6.2115916092711296e-10,-5.4552052903341244e-10,4.9141482614974378e-10,6.1469088675178499e-10,6.4062612112326285e-10,2.1361184278579774e-10
0.3525,3.5551071423666305e-09,-5.4296783664732917e-10,-9.1428824316775156e-11,1.0764262851795868e-09,9.8648875516361933e-10,8.448036865498608e-10,1.7612865600443942e-10
0.355,3.9351618881830587e-09,-4.6354901209046e-10,2.7650435460924235e-10,1.524116248498705e-09,1.2429970673448856e-09,8.8463249205170953e-10,3.0176025992831698e-11
0.3575,4.4170097983576161e-09,-3.8897622938446114e-10,5.4928788109880185e-10,1.8287961030398862e-09,1.3912632007993363e-09,8.1367257177718867e-10,-1.7031532647418531e-10
0.36,5.0058835341659668e-09,-3.2300715100378318e-10,7.2638126034710945e-10,1.9984561772278234e-09,1.4533798234319399e-09,7.1330638888506542e-10,-3.4763344434688198e-10
