Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.255,1.0748137452234044e-12,-1.0523549175252188e-13,-3.7127030746163493e-13,-5.9601554768888011e-14,-1.0548205421003833e-15,9.3497569779924595e-16,9.8756425224167708e-16
0.2575,1.0577989158951002e-12,-1.2631319036711389e-13,-4.3342674636234653e-13,-7.3719514855460859e-14,-1.6559084015714731e-15,8.3868053526716042e-16,9.0560721014383799e-16
0.26,1.0404168809110758e-12,-1.5322679690356115e-13,-5.2053547338351191e-13,-9.9859737695086946e-14,-3.6422999130971469e-15,3.2357609339098175e-16,5.1250455623916116e-16
0.2625,1.0174530127481816e-12,-1.8599499632179823e-13,-6.3177528799490792e-13,-1.4009771371007317e-13,-8.5965222379608047e-15,-9.7128583316381547e-17,1.5240257699070615e-16
0.265,9.8496608955806086e-13,-2.2408874988553037e-13,-7.6214310767970505e-13,-1.936133447136506e-13,-1.8225962041532763e-14,-1.0399146201172669e-15,1.3677243182985102e-17
0.2675,9.4161078685142387e-13,-2.6631521895595953e-13,-9.0204144058698522e-13,-2.5452411268307552e-13,-3.2315597798562852e-14,-3.8316559714549786e-15,-7.6142172828109826e-18
0.27,8.8906697316014901e-13,-3.1077853614701341e-13,-1.0386094446679146e-12,-3.1232748459217773e-13,-4.7343245576642207e-14,-8.3697471896833983e-15,-9.9278649711362985e-17
0.2725,8.3166021296653656e-13,-3.5493818841175146e-13,-1.1586906793825915e-12,-3.5575348302816151e-13,-5.7948431940588841e-14,-1.2346762083853858e-14,-2.7674417224135433e-16
0.275,7.7536950779836919e-13,-3.9567545684133123e-13,-1.2519949774297621e-12,-3.7765007717157383e-13,-6.0424796391087226e-14,-1.325619675238747e-14,-3.8939424256452195e-16
0.2775,7.2678148020845198e-13,-4.2939731075685528e-13,-1.3129186745340254e-12,-3.7770485686668776e-13,-5.502739087378559e-14,-1.0797295216504874e-14,-3.3375865391059815e-16
0.28,6.9234641716229894e-13,-4.5231919780084813e-13,-1.3405924157880932e-12,-3.6151642056875313e-13,-4.5228717778305212e-14,-6.8777815269440925e-15,-1.7565815165634853e-16
0.2825,6.7806060983834846e-13,-4.6092776167870432e-13,-1.3373878848914237e-12,-3.3710482837308507e-13,-3.5063001579031926e-14,-3.5936273989080868e-15,-4.9053386264574443e-17
0.285,6.8950955012871282e-13,-4.5264139175419728e-13,-1.3070931891031952e-12,-3.1162882690054099e-13,-2.7092131999204767e-14,-1.7216403960689793e-15,-4.1649032051228622e-18
0.2875,7.3223002315313209e-13,-4.267241421651909e-13,-1.2537545503173801e-12,-2.8966328354838108e-13,-2.2114918362607969e-14,-9.2897180460594471e-16,2.6451161071345961e-21
