Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.295,1.8557946064985972e-07,6.479547218371742e-08,2.3651043258655574e-09,8.4267455513162503e-11,9.6136314574859366e-12,2.2945874156907878e-12,4.6234938998947554e-11
0.2975,1.8603831565187388e-07,6.569789178461755e-08,2.3362844834068672e-09,7.9270265554962859e-11,1.153049429178631e-11,3.9296204783666544e-12,5.629783865362265e-11
0.3,1.8650742843058809e-07,6.6600945699958713e-08,2.3103313142160296e-09,7.5805146352311394e-11,1.4148424861828277e-11,6.3985189012603646e-12,6.3916825274737901e-11
0.3025,1.8697528114218182e-07,6.752476918894985e-08,2.2923865950414161e-09,7.2984001450609681e-11,1.6382162961393084e-11,8.9115793289388639e-12,6.7649496542434608e-11
0.305,1.8742672179592832e-07,6.8486307871132779e-08,2.2869291785175461e-09,7.0121319277938326e-11,1.7313102985915173e-11,1.0552544273519222e-11,6.6458709933253001e-11
0.3075,1.8784491145865409e-07,6.9497677166689663e-08,2.2976701305910581e-09,6.6999260382327959e-11,1.6502368115151805e-11,1.0659767426357537e-11,6.0078756047335973e-11
0.31,1.8821413859141732e-07,7.056553130302256e-08,2.3275305386527263e-09,6.3994979099088885e-11,1.4154863685989089e-11,9.156009623518791e-12,4.9265309126703611e-11
0.3125,1.8852204557213029e-07,7.16914559589868e-08,2.3786888161910143e-09,6.2036859918483002e-11,1.1046460548690472e-11,6.605161785491983e-12,3.5777166135223193e-11
0.315,1.8876144302303405e-07,7.2872853760583934e-08,2.4525366968212447e-09,6.2400310519755394e-11,8.2405810913301954e-12,3.9477194247156511e-12,2.2024831303224407e-11
0.3175,1.8893118723382599e-07,7.4104078497416013e-08,2.5496000490372751e-09,6.6411250551910199e-11,6.7352108128049946e-12,2.0643513426743473e-12,1.0462272176317418e-11
0.32,1.8903588506156691e-07,7.5377619869199729e-08,2.6693537384975635e-09,7.5134687858534132e-11,7.1849630030181222e-12,1.4175956954203625e-12,2.9379379127232858e-12
0.3225,1.8908500708369308e-07,7.6684981827700729e-08,2.8099990020037463e-09,8.9119447831709448e-11,9.7911013284601588e-12,1.9454104680141489e-12,2.565110635156296e-13
0.325,1.8909178051277422e-07,7.8017099688281693e-08,2.9683114244858838e-09,1.0824519785657166e-10,1.4353911009682057e-11,3.2216037114597259e-12,2.1221968643100111e-12
0.3275,1.8907171845313073e-07,7.9364463686817017e-08,3.1395868218965384e-09,1.3168723467237472e-10,2.0409427409105588e-11,4.74886226394597e-12,7.4550240277599545e-12
0.33,1.8904118185573086e-07,8.0717090008390195e-08,3.3177618780382883e-09,1.5798652906638408e-10,2.7365484042034852e-11,6.2003472497635527e-12,1.4892650171566143e-11
0.3325,1.890160229381575e-07,8.2064433980604797e-08,3.4958319464990475e-09,1.8522822014228419e-10,3.4589788823830874e-11,7.4893553190947318e-12,2.322022350084286e-11
0.335,1.8901040189244569e-07,8.33955219921308e-08,3.6664286855990475e-09,2.1127969228520187e-10,4.1452070227602548e-11,8.6693457144907046e-12,3.154390564276065e-11
0.3375,1.890362372516175e-07,8.4699174774421689e-08,3.8224797365797747e-09,2.340409471699056e-10,4.7346727867315378e-11,9.7704472981813484e-12,3.9208922310044358e-11
0.34,1.8910273819329863e-07,8.5964857425912796e-08,3.9578427004165409e-09,2.5168202929784401e-10,5.1729633375312976e-11,1.0693683143848809e-11,4.5620408615871609e-11
