Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00384826,4.5127895266924299e-15,3.7514549696252096e-15,5.7116891780620138e-15,3.1430100422507201e-15,-1.3893530904567148e-17,1.178774961265119e-15,2.2127214409315263e-15
0.00389889,-1.0805005836031301e-15,-2.714678098817894e-15,-5.282365823998563e-15,-4.3839962484827603e-15,-5.8294671244473431e-15,-3.7168414486663482e-15,-3.340458152899458e-15
0.00394953,-1.1870110585163516e-14,-1.1650678596680199e-14,-1.1491696038390354e-14,-1.3038521144748346e-14,-1.2012646581177152e-14,-1.1924441909250587e-14,-9.5133796812655073e-15
0.00400016,-2.6830275949336755e-15,-3.4607232159982492e-15,-6.2849080678017391e-15,-7.457166321876373e-15,-5.7846357748770032e-15,-7.4457325415412961e-15,-7.0633936872951039e-15
0.0040508,9.0727013902059036e-16,-4.7081944206026914e-16,-2.5228351232368532e-15,-1.7131623741129371e-15,-1.6991310247333633e-15,-6.3331838192124796e-16,-1.022690815678583e-15
0.00410143,2.7330279135004284e-15,9.1755608942461055e-16,-1.4332172942715025e-15,2.4959420254914869e-15,3.741909031920703e-15,3.5926708129917762e-15,5.8355044284638246e-15
0.00415207,8.1659651659883667e-15,1.0232218793517001e-14,1.0639235145746452e-14,1.071628667193873e-14,9.5419043141634035e-15,9.4362537615744918e-15,9.2196321207868216e-15
0.00420271,3.6878804857959545e-15,3.2783652050836435e-15,1.7472777022770919e-15,1.1185731461747612e-15,-1.0094341808152861e-15,-1.1085446676807888e-15,-1.7787717743224955e-15
0.00425334,7.6553506301697628e-15,7.8777322601339722e-15,4.0852285018661323e-15,6.1617238143465175e-15,6.9283852471304063e-15,7.3465279313547032e-15,6.8131337733944989e-15
0.00430397,7.982162453281068e-15,7.6580370406266638e-15,3.9066693582833923e-15,3.0554784678232732e-15,2.3319581806606237e-15,2.1269500318421555e-15,4.1750748011904875e-15
0.00435461,-3.9468047143813415e-15,-6.2521435531877798e-15,-9.9373763800897618e-15,-1.0500781514709317e-14,-1.0320596076067237e-14,-1.3210269790263786e-14,-1.4985175306841048e-14
0.00440524,1.4508028747612329e-14,1.2154896049793155e-14,1.3631997582555868e-14,1.2380940262807817e-14,1.2643961276175558e-14,1.2363964145423434e-14,8.7785437242574746e-15
0.00445588,-1.5357471452560491e-15,-1.7203362262731688e-15,-4.6515938665930703e-15,-9.158081062446214e-15,-8.0702712741783996e-15,-7.6645797872213239e-15,-9.9249837588373034e-15
0.00450651,3.4776015855539863e-15,2.7197280280919148e-15,1.374205495821197e-15,2.9764274271394884e-15,1.5046315716110501e-15,1.1378730831789834e-15,-4.105512997683507e-16
0.00455715,3.3490035019252331e-15,1.8499970052760483e-15,3.0609883191143644e-15,-4.2828552470529036e-16,-1.3134833067440216e-15,-1.8533107530098128e-15,-2.8057081032341186e-15
0.00460778,-7.694028358474274e-15,-6.2122344874188262e-15,-6.5256441270009474e-15,-7.4684630034053856e-15,-6.069710983137204e-15,-5.1383355896653666e-15,-1.4580530754896558e-15
0.00465842,1.566325819181582e-15,1.8364278265251026e-15,2.2982179201103404e-15,5.0283299143245444e-15,5.9843339529233584e-15,6.899693065466654e-15,7.5564434869000949e-15
0.00470906,7.3014174261122583e-15,9.4794320709367273e-15,8.0405320640015223e-15,6.3526853691234591e-15,6.4958864018528447e-15,7.5206149337966775e-15,6.9918063167165591e-15
0.00475969,2.6411103797316938e-15,3.1771269020896205e-15,3.423304083634871e-15,3.7030944600074587e-15,3.2659874448799205e-15,4.8141845086171186e-15,7.1712437122868552e-15
0.00481032,-1.6515533294194528e-18,-1.5764821789691723e-15,1.382035367080634e-15,9.9850308560346143e-16,1.9596789295825503e-15,8.2023089653148387e-16,7.7700092868875366e-16
0.00486096,1.3461214649977356e-14,1.2311534706400595e-14,1.1019305562011976e-14,1.0157554501343395e-14,8.7003187454838876e-15,9.2099205105647576e-15,9.0216560088087213e-15
0.00491159,5.3756481633646827e-15,4.8852608281662651e-15,5.1163899375967221e-15,2.7263763775316674e-15,2.8772696062192457e-15,4.19751241107083e-15,4.3027206866042249e-15
