Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.00521541,1.1304518017438681e-06,9.1303699264467214e-07,1.9080402824876684e-07,-5.5910807700150133e-08,-1.1399190081019007e-07,-1.4396078513400272e-07,-1.6550070376081688e-07
0.00526604,1.1523167597876194e-06,9.3711295135279564e-07,2.0402040358459056e-07,-5.0096235884177254e-08,-1.097420155940191e-07,-1.406281839487514e-07,-1.6480828309957237e-07
0.00531667,1.1703431464015246e-06,9.5802794099504973e-07,2.1684547838723233e-07,-4.5327026781350996e-08,-1.0671010651985119e-07,-1.3813673482302505e-07,-1.6403931950379174e-07
0.00536731,1.1857344755576127e-06,9.7668881171598771e-07,2.3039214510182409e-07,-4.0008663352291299e-08,-1.0321382354490252e-07,-1.3473313146027534e-07,-1.6111739850597575e-07
0.00541794,1.1995957657353785e-06,9.9383222435583549e-07,2.451761175479639e-07,-3.3089678904077536e-08,-9.8074905792107595e-08,-1.2918645015089486e-07,-1.5467317170307812e-07
0.00546858,1.2127996553730426e-06,1.0099566405897157e-06,2.6110981882495785e-07,-2.4116504376235674e-08,-9.0679217873723518e-08,-1.2085940733848827e-07,-1.4415324960577955e-07
0.00551922,1.2258452744626745e-06,1.025248942709907e-06,2.7758143914204944e-07,-1.3207061203049689e-08,-8.0962151192056104e-08,-1.0969919183896338e-07,-1.2979354417130703e-07
0.00556985,1.2387531248657203e-06,1.0395309457291862e-06,2.9357214928120849e-07,-9.8167278033017117e-10,-6.9357765087385794e-08,-9.6188026485089048e-08,-1.1249977392248421e-07
0.00562048,1.2511774625480159e-06,1.0524062964535589e-06,3.0796475115866186e-07,1.1717766292108567e-08,-5.6545278225211645e-08,-8.1087844433706076e-08,-9.3496865770752806e-08
0.00567112,1.2624599619356638e-06,1.0633160708071501e-06,3.197339930534275e-07,2.3998547900424537e-08,-4.3292335649937366e-08,-6.5275995063948013e-08,-7.4071999219192936e-08
0.00572176,1.2716933959127863e-06,1.0715823373941084e-06,3.2806879723303367e-07,3.5048630173814218e-08,-3.0350525899117164e-08,-4.9629600098727705e-08,-5.5392959488346558e-08
0.00577239,1.2778704574011169e-06,1.0765184986081785e-06,3.3250090256191465e-07,4.428532162031576e-08,-1.8321028545254767e-08,-3.4878329692072417e-08,-3.833035856108299e-08
0.00582302,1.2800399651316792e-06,1.0775340693475186e-06,3.32969065999268e-07,5.1448290562231319e-08,-7.5631930855565993e-09,-2.1500282770847182e-08,-2.3361134162859663e-08
0.00587366,1.2774469320179745e-06,1.0742187099798592e-06,3.2981535239321355e-07,5.6625856682780369e-08,1.8428784168245489e-09,-9.6738145416155492e-09,-1.055713911262941e-08
0.00592429,1.2696797416200753e-06,1.0664382640150837e-06,3.2375780080506204e-07,6.0252016971042218e-08,1.0114860027775312e-08,7.4854763114100451e-10,3.8958685521973169e-10
0.00597493,1.2567495974902417e-06,1.0543747696115555e-06,3.1578599665052748e-07,6.3018846738676192e-08,1.770871674223887e-08,1.0183777077905411e-08,1.0061803184823358e-08
0.00602557,1.2390835948285356e-06,1.0385013257076744e-06,3.0699580913111681e-07,6.5720082206973627e-08,2.5190887609824961e-08,1.9188871707214088e-08,1.9152359029103275e-08
0.0060762,1.2174932090664017e-06,1.0195528309645365e-06,2.9845183545396589e-07,6.9118057477988308e-08,3.3128388815716123e-08,2.8345635374879968e-08,2.8333059648921876e-08
0.00612683,1.1930744583757738e-06,9.9844705687380306e-07,2.9104235366242175e-07,7.3800306747510822e-08,4.1960349876910885e-08,3.8124241020345379e-08,3.8120295900043662e-08
0.00617747,1.1671018853185494e-06,9.7621145704353646e-07,2.8539107346141005e-07,8.0092485655089748e-08,5.1916070306244652e-08,4.8793156980831015e-08,4.8797825867642157e-08
0.00622811,1.1409190933850824e-06,9.5390733657335811e-07,2.8182164347278314e-07,8.8027920101980464e-08,6.2979399440512999e-08,6.0376866582083982e-08,6.0389916851436473e-08
0.00627874,1.1158365941580819e-06,9.3256065885522649e-07,2.8037062065536436e-07,9.736282570647492e-08,7.4897704644383e-08,7.2659818978952444e-08,7.2677172926160116e-08
0.00632937,1.0930592707212388e-06,9.131171508078843e-07,2.808474595849127e-07,1.0764515933839828e-07,8.7238459307190674e-08,8.5240464212592753e-08,8.5256476155068372e-08
0.00638001,1.0736451205410865e-06,8.9641917880281032e-07,2.8292262665837393e-07,1.1831231821628877e-07,9.9475741321171359e-08,9.7617083616159403e-08,9.7627556037257866e-08
0.00643064,1.0584982874037558e-06,8.8320866147536976e-07,2.8623127522401307e-07,1.2879986947898918e-07,1.1108992635194765e-07,1.0928800534841722e-07,1.0929130931892398e-07
0.00648128,1.0483809188944471e-06,8.7413876547256533e-07,2.9045861778533764e-07,1.3863191584286203e-07,1.2165073771429522e-07,1.1983638525870052e-07,1.1983248625101829e-07
0.00653192,1.0439397509228187e-06,8.6979644762543393e-07,2.9540465891798606e-07,1.4748783590890536e-07,1.3088098230434416e-07,1.2899523149393825e-07,1.2898376182727783e-07
0.00658255,1.045754410373402e-06,8.7073597131803792e-07,3.0103578736165085e-07,1.5525025493911852e-07,1.3870453213270165e-07,1.3669714953967495e-07,1.3667576157903056e-07
0.00663318,1.0543812576962652e-06,8.7751040552606846e-07,3.075182120349037e-07,1.6204043742229332e-07,1.4527756158375158e-07,1.4310685930576352e-07,1.4307058184658147e-07
0.00668382,1.0703938144421567e-06,8.9070179254436398e-07,3.1520288969295402e-07,1.6819153065629676e-07,1.5096246919968728e-07,1.4859556847943839e-07,1.4853719249326589e-07
0.00673445,1.0944120860830741e-06,9.1094069948862533e-07,3.2466615606754864e-07,1.742969782630066e-07,1.5637668260056453e-07,1.5378946717929906e-07,1.5370053420980327e-07
0.00678509,1.1271144596722456e-06,9.3891155800375344e-07,3.3668430494274091e-07,1.8117119875298757e-07,1.6235363815059776e-07,1.5952992573448735e-07,1.5940179566615574e-07
0.00683572,1.1692278721719901e-06,9.75339708780348e-07,3.5218329346010645e-07,1.8980390267376536e-07,1.6989674938187839e-07,1.6682670911932658e-07,1.6665144500170418e-07
0.00688636,1.2214885957127574e-06,1.0209525763183365e-06,3.7219908036382009e-07,2.013175222974152e-07,1.8013875397685229e-07,1.7681532826706653e-07,1.7658636155327443e-07
0.00693699,1.2845727414672988e-06,1.0764127746174139e-06,3.9777555837691567e-07,2.1686691205843863e-07,1.9423514548571372e-07,1.9065097247104999e-07,1.9036367467530555e-07
0.00698763,1.3589891297374736e-06,1.1422151696442896e-06,4.2983137146972834e-07,2.3750234694810869e-07,2.1323322919609326e-07,2.0937756713929494e-07,2.0902994259819062e-07
0.00703827,1.4449574706232056e-06,1.2185697895330186e-06,4.6900873123371999e-07,2.6400928369480211e-07,2.3791110409887852e-07,2.337682982642768e-07,2.3336185672680935e-07
0.0070889,1.5422515982882195e-06,1.3052500477473162e-06,5.1548431789026079e-07,2.9670539086695809e-07,2.6857406248664096e-07,2.6412235314145611e-07,2.6366308783702525e-07
