Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.00450651,0.19583486581719145,0.0065993803207044666,0.00059654685464034308,0.00012368563528013208,4.1537618296659469e-05,2.3941186724707934e-05,0.00051181532663045672
0.00455715,0.19953227081457867,0.0067836453206128588,0.00058209768209179543,0.0001303333518134505,3.8399631552610484e-05,3.0528731384042308e-05,0.00039504807814989612
0.00460778,0.20323515429292283,0.0069688154978989926,0.00056701936819358271,0.00013720871551229426,3.5669879805928774e-05,3.4078293394923111e-05,0.00025836825375750029
0.00465842,0.20696652512844546,0.0071446250535374348,0.00055384554067284305,0.00014339805646298122,3.349289223482761e-05,3.417090958733623e-05,0.00012927137908473688
0.00470906,0.21075235768250841,0.0073018794951992035,0.00054476719894612881,0.00014802122025933581,3.1983737114699867e-05,3.1338939128881625e-05,3.5966589738569652e-05
0.00475969,0.21460886995408876,0.0074337008593246641,0.00054141764644046624,0.00015038437808656619,3.1207840404123518e-05,2.6653723947965273e-05,2.05119222126969e-07
0.00481032,0.21854739887337943,0.0075364710630079924,0.00054475436378526856,0.00015012126312236799,3.1172202961415638e-05,2.126993151995878e-05,3.1108834690036111e-05
0.00486096,0.22256821636535629,0.0076103329689102056,0.00055499695160044556,0.00014724981606869625,3.1820209025741733e-05,1.6110415224435415e-05,0.00012180799883177126
0.00491159,0.22666567898208895,0.0076591788424524663,0.00057162292105054468,0.00014218694593792289,3.3040343742857565e-05,1.1729276081932342e-05,0.00025047099626338508
0.00496223,0.23082876512555836,0.0076900586284274859,0.00059338894854377416,0.00013566402258421561,3.4655802201684298e-05,8.3259035643545282e-06,0.0003857842698075021
0.00501287,0.23504232277383033,0.0077120311384250512,0.00061840643783543398,0.00012858081615879608,3.642946521955436e-05,5.8537560268109901e-06,0.00049516741373205808
0.0050635,0.23928805359961267,0.0077347361935982076,0.00064430427095016004,0.00012185176030923058,3.8085468758488526e-05,4.1447422801867466e-06,0.00055314894067918846
0.00511413,0.24354718868863479,0.0077669947748941594,0.00066848767322025184,0.00011627220199368426,3.9348638847429862e-05,3.0033608486073906e-06,0.00054927917340453353
0.00516477,0.24780646803698395,0.0078156881115724625,0.00068847445839526728,0.00011244223443761711,3.9994571436569515e-05,2.2574244643237457e-06,0.00048719087794219315
0.00521541,0.25205736612602331,0.0078850802625790774,0.00070224707329600471,0.00011074040866127512,3.9902410669451433e-05,1.7755866249819468e-06,0.00038406453731526502
0.00526604,0.25629512585629027,0.0079766204385092153,0.00070862972991114737,0.00011132629400332411,3.9070195822788666e-05,1.4666165544840035e-06,0.00026466335526910737
0.00531667,0.26052315991885655,0.0080891699282529782,0.00070735150903478107,0.0001141428788914892,3.7623688868589317e-05,1.2709748837236914e-06,0.00015399958704615346
