Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00622811,7.1455836097384261e-07,5.4402588300344041e-08,-8.9380921941740154e-07,-1.5424512804728137e-06,-1.6766919158702399e-06,-1.7204617115106851e-06,-1.7183121652913375e-06
0.00627874,7.1364344515611842e-07,4.653219263983375e-08,-8.9079246294371571e-07,-1.5298259956561074e-06,-1.6619375274132604e-06,-1.7036876897587279e-06,-1.7016894890094605e-06
0.00632937,7.1037920371074202e-07,3.8201276770723624e-08,-8.8970317246764361e-07,-1.5197043022812181e-06,-1.6497172593030346e-06,-1.6897211740086055e-06,-1.6883032891920435e-06
0.00638001,7.0713184969216884e-07,3.0251852353817194e-08,-8.9033309854454432e-07,-1.5130551911111779e-06,-1.6413153171636517e-06,-1.6800372272107361e-06,-1.6793433061022298e-06
0.00643064,6.889039608849355e-07,1.0562097427114345e-08,-8.9608722017897425e-07,-1.5085360660196986e-06,-1.632885961579933e-06,-1.6691182732761005e-06,-1.6694120210657142e-06
0.00648128,6.9188608715699536e-07,5.7014660845413283e-09,-8.9937337882996609e-07,-1.5110103486957366e-06,-1.634888038130982e-06,-1.6712448899184328e-06,-1.672039925554438e-06
0.00653192,6.82564624067149e-07,-1.0358390677948844e-08,-9.0757350483252616e-07,-1.5162817559685351e-06,-1.6378547051629765e-06,-1.6732499215884457e-06,-1.6745303952744101e-06
0.00658255,6.7807210399779585e-07,-2.5259488273065421e-08,-9.1701672763725177e-07,-1.5265447651385028e-06,-1.6466127026740664e-06,-1.6816630664308213e-06,-1.6833172984528246e-06
0.00663318,6.778856699549333e-07,-3.9892818357530834e-08,-9.281909530966153e-07,-1.5420320565225241e-06,-1.6613221777146052e-06,-1.696577286416323e-06,-1.6986946668217417e-06
0.00668382,6.8257529801812206e-07,-5.3835750430754476e-08,-9.4053829832342497e-07,-1.5617286403252337e-06,-1.680937835276502e-06,-1.7168945666166552e-06,-1.7197285474630546e-06
0.00673445,6.9015221819378988e-07,-6.8542415881635172e-08,-9.5415996266154876e-07,-1.5851568711355528e-06,-1.7047624062776197e-06,-1.7416944295394492e-06,-1.7455097284988674e-06
