Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.0050635,0.00065275885240894662,5.0333028448006396e-06,1.4730917807198933e-07,-6.0692580042948327e-08,-5.6841985858196523e-08,-5.022497024745718e-08,-4.3569691250151247e-07
0.00511413,0.00067620303508336569,5.0952269627788198e-06,1.4542382328737735e-07,-5.3131727168675856e-08,-6.1437360958435228e-08,-4.2367287918552955e-08,-6.0167715507555897e-07
0.00516477,0.00070084788233639231,5.1666108664767136e-06,1.4107389769541038e-07,-4.5280936547796251e-08,-6.712542288504131e-08,-3.6553665066247731e-08,-6.4513879062245632e-07
0.00521541,0.00072602948045685279,5.2443509191015301e-06,1.3509500472026194e-07,-3.8178994375453083e-08,-7.2892603277926471e-08,-3.2331964764713365e-08,-6.2121435247473936e-07
0.00526604,0.00075088324420911749,5.3239268830734905e-06,1.286414046569496e-07,-3.2529344632519336e-08,-7.7838786825796525e-08,-2.9289123461476991e-08,-5.504095885020287e-07
0.00531667,0.00077458828667127774,5.4073927296382278e-06,1.2292924213517516e-07,-2.8686503242092883e-08,-8.1057851649956676e-08,-2.7091967087515836e-08,-4.4569958846890845e-07
0.00536731,0.00079663050411094916,5.4925491696867517e-06,1.1913068295467556e-07,-2.6686683666502417e-08,-8.2001232487351367e-08,-2.5492122752470166e-08,-3.2259260692443922e-07
0.00541794,0.00081696858436202324,5.5760375393588374e-06,1.1813900281711985e-07,-2.6478233964662148e-08,-8.0554262796664019e-08,-2.4307031475922965e-08,-1.9790630037355352e-07
0.00546858,0.0008360278171881194,5.6561871758576851e-06,1.2035516503497895e-07,-2.7944831467041191e-08,-7.6948826940530377e-08,-2.3408035731094566e-08,-8.6827805415502426e-08
0.00551922,0.00085448948578502489,5.7295758965623392e-06,1.2561132702175061e-07,-3.0911658675337995e-08,-7.1651182845505465e-08,-2.2708366020915081e-08,-3.413554447936106e-10
0.00556985,0.00087314449230814929,5.7954228408008708e-06,1.3324049100707048e-07,-3.5122900347149423e-08,-6.521200314285474e-08,-2.216683819618736e-08,5.5340344631215141e-08
0.00562048,0.00089275662560662952,5.852270575180592e-06,1.4227394745447829e-07,-4.0185558727980857e-08,-5.8226909888291608e-08,-2.178261539053398e-08,7.732340759257671e-08
