Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.00521541,8.8893349689602187e-07,2.614799395274178e-07,-4.7392787038360469e-08,-5.2799183758186746e-08,-5.4375675625958429e-08,-5.6385012524645778e-08,-6.0893749871265943e-08
0.00526604,8.8103205635992636e-07,2.512128021505801e-07,-6.1713177048268158e-08,-6.7158316724081052e-08,-6.8673889606257894e-08,-7.0714733767329919e-08,-7.4528816527250507e-08
0.00531667,8.6778525125422227e-07,2.3711342662969332e-07,-7.9145897708859463e-08,-8.4586428128835741e-08,-8.6047186707797277e-08,-8.8069647646223747e-08,-9.1043617835622015e-08
0.00536731,8.505040967949422e-07,2.2050489580818581e-07,-9.8304619695460756e-08,-1.0371636228468444e-07,-1.0512903039129369e-07,-1.0707440994422651e-07,-1.0921018917057739e-07
0.00541794,8.3057277158473474e-07,2.0267652244202419e-07,-1.1783881978864118e-07,-1.2321664397179694e-07,-1.2458585549553458e-07,-1.2639358038998871e-07,-1.2780092846979877e-07
0.00546858,8.093247482157122e-07,1.8479883459392258e-07,-1.3652748513501872e-07,-1.4188157579586447e-07,-1.4320717519345644e-07,-1.4482279924542709e-07,-1.4566684865175406e-07
0.00551922,7.879452843532345e-07,1.6788164461132721e-07,-1.5332636483166528e-07,-1.5867610066502571e-07,-1.5995096140224239e-07,-1.6133375033800937e-07,-1.6178733051040741e-07
0.00556985,7.674159556003883e-07,1.527739903139043e-07,-1.6737536897147489e-07,-1.7274306968239818e-07,-1.739520740944775e-07,-1.7508064908894971e-07,-1.7529242918219742e-07
0.00562048,7.4846070698589837e-07,1.4013520344383547e-07,-1.7802788429154608e-07,-1.834345152834256e-07,-1.8455543205575378e-07,-1.8543009533153866e-07,-1.8551095737584626e-07
0.00567112,7.3154341373781773e-07,1.3043069041393208e-07,-1.8486245551764474e-07,-1.9032564692997327e-07,-1.9133219807513917e-07,-1.9197337080335473e-07,-1.9199634612398932e-07
0.00572176,7.1683621169458208e-07,1.2386433161041576e-07,-1.8775254624683424e-07,-1.9328657715582302e-07,-1.9415363950548538e-07,-1.9459687372454518e-07,-1.9460469456685977e-07
