Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.00562048,1.264457354449657e-06,1.0697472966733299e-06,3.3073091114085578e-07,3.5270543233705795e-08,-3.2896148908945484e-08,-5.7294594929067182e-08,-6.9654586967529794e-08
0.00567112,1.2734812489581867e-06,1.0783891730829221e-06,3.4010509016434707e-07,4.5301804410914418e-08,-2.1773009135539114e-08,-4.3615328062803373e-08,-5.2402616406037823e-08
0.00572176,1.2808242614646678e-06,1.0848457659752672e-06,3.46598126457321e-07,5.4599664826678558e-08,-1.0490334726602468e-08,-2.9642321702405031e-08,-3.5423299771399296e-08
0.00577239,1.2856568640072362e-06,1.0886126722969582e-06,3.499705227002596e-07,6.281467055374463e-08,5.7293914057298406e-10,-1.5879994845737713e-08,-1.936063106116975e-08
0.00582302,1.2871503333178085e-06,1.0892100044350069e-06,3.502982734075626e-07,6.983268127841001e-08,1.1197275441718321e-08,-2.6637688821156312e-09,-4.5520393577440568e-09
0.00587366,1.284556717861648e-06,1.086208048761936e-06,3.4790630265892263e-07,7.5735539559442001e-08,2.1295645765909628e-08,9.8239613195567186e-09,8.9209225487296609e-09
0.00592429,1.2774121603086051e-06,1.0793830461097489e-06,3.4339746286735768e-07,8.0852844541995716e-08,3.0987168169619233e-08,2.1634842916319823e-08,2.1264825845757633e-08
0.00597493,1.2656041356066279e-06,1.0687510760111266e-06,3.3754236611944419e-07,8.5665819645739564e-08,4.0527207527380275e-08,3.298759880503372e-08,3.2860814511513541e-08
0.00602557,1.2493698588398179e-06,1.0545558104340422e-06,3.3113410924978144e-07,9.0670775755623279e-08,5.0197307896833122e-08,4.4156025774293225e-08,4.411783326204534e-08
0.0060762,1.2293199298603113e-06,1.0373007251525756e-06,3.2492152733421989e-07,9.6316345569789251e-08,6.0263652130414855e-08,5.5422030514779305e-08,5.5408885318024102e-08
0.00612683,1.2063563410449056e-06,1.0176937992877622e-06,3.1949964195197566e-07,1.0289592187788827e-07,7.0882318078733461e-08,6.6972822086879789e-08,6.6968811632709681e-08
0.00617747,1.1815945415304265e-06,9.9660286869886014e-07,3.1526505465919852e-07,1.1050570997551461e-07,8.2060695385994146e-08,7.885460757126155e-08,7.8859860458656139e-08
0.00622811,1.1562695177886784e-06,9.7499630440923668e-07,3.1240615879659707e-07,1.1903981890531301e-07,9.3647951768781e-08,9.0956364173657802e-08,9.0970756470860179e-08
0.00627874,1.1316386423102592e-06,9.5387493367089171e-07,3.1092385184970288e-07,1.2821509562387504e-07,1.0535314352764397e-07,1.0302328652097099e-07,1.0304246578146592e-07
0.00632937,1.1089066132384496e-06,9.3422039576029102e-07,3.1068379166982308e-07,1.3763394501842271e-07,1.1679704188558221e-07,1.1470627037923859e-07,1.1472405576783691e-07
0.00638001,1.0891772965578575e-06,9.1695978687164443e-07,3.1148816177552372e-07,1.4686578132227315e-07,1.2758333215547274e-07,1.2563256340430373e-07,1.2564430451113187e-07
0.00643064,1.0734334268876567e-06,9.0295120935554463e-07,3.1315288372646125e-07,1.5552968500199872e-07,1.3737326955213447e-07,1.35480939041704e-07,1.3548484915929408e-07
0.00648128,1.0625404476156755e-06,8.9298277576347691e-07,3.1557222854042676e-07,1.6336350649425041e-07,1.4594782225108496e-07,1.4404560925016618e-07,1.4404170616272441e-07
0.00653192,1.0572619349173109e-06,8.877808912625524e-07,3.1876143224925838e-07,1.7026786583670956e-07,1.5324845177650583e-07,1.5127819225142359e-07,1.5126606741358923e-07
0.00658255,1.0582926269594379e-06,8.8802746575613467e-07,3.2288663178192233e-07,1.7633101761936921e-07,1.594027771437331e-07,1.5731501182497562e-07,1.5729188607689028e-07
0.00663318,1.0662971548372121e-06,8.9438610683117052e-07,3.2828649466570344e-07,1.8185336968655493e-07,1.647435836231496e-07,1.6249721561722633e-07,1.6245719306524628e-07
0.00668382,1.0819435549100516e-06,9.0752594679320875e-07,3.3546318771534345e-07,1.8732991962895595e-07,1.6979224871651903e-07,1.6735468106509545e-07,1.6728928576630288e-07
0.00673445,1.1059249766040671e-06,9.2813440463824285e-07,3.4509790686420115e-07,1.9346651675503481e-07,1.7527538984130136e-07,1.7262243653875765e-07,1.7252193963093335e-07
0.00678509,1.1389665243665094e-06,9.5691963942208698e-07,3.5802825308655396e-07,2.0114913535610637e-07,1.8209448427643886e-07,1.7920943342961398e-07,1.790643022617946e-07
0.00683572,1.1818130769236215e-06,9.9459791293596296e-07,3.7519683213963817e-07,2.1139318645744708e-07,1.9127437285475097e-07,1.8814613687613458e-07,1.8794821704336123e-07
0.00688636,1.2351875335529573e-06,1.0418551567173855e-06,3.9760341272935445e-07,2.2529712625996949e-07,2.0392217276787997e-07,2.0054226969533437e-07,2.0028563708194801e-07
0.00693699,1.2997211557254395e-06,1.0992829871599613e-06,4.2620572494594999e-07,2.4394058482684937e-07,2.2111455535363134e-07,2.1747329941314842e-07,2.1715476572608038e-07
0.00698763,1.3758496035432622e-06,1.1672818221676957e-06,4.6179105784563834e-07,2.6825003365337829e-07,2.4377312638443821e-07,2.3985686740778066e-07,2.3947646345308126e-07
0.00703827,1.4636899751867778e-06,1.2459450162500027e-06,5.0482682438652286e-07,2.9883843898959462e-07,2.7250335636540941e-07,2.6829304289974582e-07,2.6785458031165211e-07
0.0070889,1.5628970433790964e-06,1.3349215391706755e-06,5.552882326439842e-07,3.3581772342914612e-07,3.0740637220324677e-07,3.0287649732343558e-07,3.0238816282281987e-07
